Date,Price
2016-05-02,63.27
2016-05-03,61.78
2016-05-04,61.58
2016-05-05,61.43
2016-05-06,61.31
2016-05-09,60.78
2016-05-10,61.51
2016-05-11,60.82
2016-05-12,60.7
2016-05-13,60.93
2016-05-16,61.02
2016-05-17,60.03
2016-05-18,60.77
2016-05-19,60.35
2016-05-20,60.9
2016-05-23,60.91
2016-05-24,62.73
2016-05-25,63.8
2016-05-26,63.8
2016-05-27,63.59
2016-05-30,64.06
2016-05-31,63.15
2016-06-01,62.38
2016-06-03,61.26
2016-06-06,61.62
2016-06-07,62.84
2016-06-08,62.59
2016-06-09,62.23
2016-06-10,59.98
2016-06-13,58.31
2016-06-14,56.76
2016-06-15,57.84
2016-06-16,57.3
2016-06-17,58.88
2016-06-20,61.05
2016-06-21,61.41
2016-06-22,61.35
2016-06-23,63.02
2016-06-24,55.66
2016-06-27,53.21
2016-06-28,54.84
2016-06-29,56.02
2016-06-30,56.99
2016-07-01,57.29
2016-07-04,56.39
2016-07-05,55.49
2016-07-06,54.28
2016-07-07,54.32
2016-07-08,56.61
2016-07-11,57.22
2016-07-12,58.87
2016-07-13,58.23
2016-07-14,59.18
2016-07-15,58.87
2016-07-18,59.08
2016-07-19,58.69
2016-07-20,59.04
2016-07-21,59.15
2016-07-22,59.03
2016-07-25,58.67
2016-07-26,58.86
2016-07-27,59.35
2016-07-28,58.35
2016-07-29,59.11
2016-08-01,58.38
2016-08-02,56.59
2016-08-03,56.79
2016-08-04,57.07
2016-08-05,58.42
2016-08-08,58.84
2016-08-09,58.99
2016-08-10,59.05
2016-08-11,59.56
2016-08-12,59.81
2016-08-16,59.21
2016-08-17,58.24
2016-08-18,58.65
2016-08-19,57.42
2016-08-22,57.47
2016-08-23,58.95
2016-08-24,59.37
2016-08-25,58.84
2016-08-26,59.31
2016-08-29,58.64
2016-08-30,59.43
2016-08-31,59.6
2016-09-01,59.5
2016-09-02,60.48
2016-09-05,60.55
2016-09-06,60.06
2016-09-07,60.89
2016-09-08,61.2
2016-09-09,60.39
2016-09-12,59.3
2016-09-13,58.28
2016-09-14,58.31
2016-09-15,58.51
2016-09-16,56.97
2016-09-19,57.96
2016-09-20,57.36
2016-09-21,57.84
2016-09-22,58.71
2016-09-23,58.08
2016-09-26,57.19
2016-09-27,56.84
2016-09-28,57.28
2016-09-29,57.54
2016-09-30,57.89
2016-10-03,57.45
2016-10-04,57.63
2016-10-05,58.09
2016-10-06,58.36
2016-10-07,57.9
2016-10-10,58.69
2016-10-11,58.18
2016-10-12,58.09
2016-10-13,57.35
2016-10-14,58.53
2016-10-17,58.62
2016-10-18,59.74
2016-10-19,60.15
2016-10-20,60.37
2016-10-21,60.51
2016-10-24,60.98
2016-10-25,60.69
2016-10-26,60.95
2016-10-27,61.34
2016-10-28,61.08
2016-10-31,60.57
2016-11-01,59.57
2016-11-02,58.23
2016-11-03,57.95
2016-11-04,57.6
2016-11-07,58.96
2016-11-08,59.21
2016-11-09,59.19
2016-11-10,59.33
2016-11-11,59.16
2016-11-14,58.94
2016-11-15,58.82
2016-11-16,58.38
2016-11-17,58.33
2016-11-18,57.38
2016-11-21,57.61
2016-11-22,58.38
2016-11-23,58.51
2016-11-24,58.3
2016-11-25,58.38
2016-11-28,57.24
2016-11-29,58.46
2016-11-30,59.78
2016-12-01,60.32
2016-12-02,60.4
2016-12-05,60.25
2016-12-06,62.61
2016-12-07,64.03
2016-12-08,65.18
2016-12-09,64.74
2016-12-12,64.83
2016-12-13,66.41
2016-12-14,65.99
2016-12-15,67.07
2016-12-16,66.96
2016-12-19,66.89
2016-12-20,67.91
2016-12-21,68.0
2016-12-22,67.6
2016-12-23,68.32
2016-12-27,68.57
2016-12-28,68.06
2016-12-29,67.87
2016-12-30,67.93
2017-01-02,69.01
2017-01-03,69.29
2017-01-04,69.21
2017-01-05,69.33
2017-01-06,69.52
2017-01-09,68.45
2017-01-10,68.6
2017-01-11,68.82
2017-01-12,67.64
2017-01-13,68.85
2017-01-16,68.01
2017-01-17,68.21
2017-01-18,68.34
2017-01-19,68.81
2017-01-20,68.83
2017-01-23,68.15
2017-01-24,68.92
2017-01-25,69.25
2017-01-26,68.68
2017-01-27,68.33
2017-01-30,66.27
2017-01-31,65.76
2017-02-01,66.04
2017-02-02,66.82
2017-02-03,67.73
2017-02-06,66.07
2017-02-07,65.96
2017-02-08,66.27
2017-02-09,67.17
2017-02-10,66.64
2017-02-13,67.58
2017-02-14,67.9
2017-02-15,67.42
2017-02-16,67.4
2017-02-17,67.09
2017-02-20,67.17
2017-02-21,67.49
2017-02-22,66.82
2017-02-23,66.54
2017-02-24,65.89
2017-02-27,66.94
2017-02-28,67.16
2017-03-01,68.31
2017-03-02,68.79
2017-03-03,69.47
2017-03-06,68.84
2017-03-07,68.71
2017-03-08,69.01
2017-03-09,69.29
2017-03-10,69.61
2017-03-13,69.74
2017-03-14,69.19
2017-03-15,69.92
2017-03-16,71.16
2017-03-17,71.12
2017-03-20,70.91
2017-03-21,70.58
2017-03-22,70.77
2017-03-23,71.56
2017-03-24,71.49
2017-03-27,71.31
2017-03-28,71.94
2017-03-29,71.88
2017-03-30,72.17
2017-03-31,72.64
2017-04-03,71.8
2017-04-04,71.73
2017-04-05,71.62
2017-04-06,72.06
2017-04-07,71.93
2017-04-10,71.69
2017-04-11,71.24
2017-04-12,70.87
2017-04-13,70.09
2017-04-18,69.12
2017-04-19,70.16
2017-04-20,70.41
2017-04-21,69.96
2017-04-24,73.52
2017-04-25,73.99
2017-04-26,74.13
2017-04-27,73.32
2017-04-28,73.48
2017-05-02,73.75
2017-05-03,73.77
2017-05-04,75.38
2017-05-05,76.31
2017-05-08,76.24
2017-05-09,76.59
2017-05-10,76.58
2017-05-11,76.34
2017-05-12,76.67
2017-05-15,77.06
2017-05-16,77.48
2017-05-17,75.68
2017-05-18,75.71
2017-05-19,76.59
2017-05-22,77.01
2017-05-23,77.22
2017-05-24,76.92
2017-05-25,76.73
2017-05-26,76.49
2017-05-29,75.03
2017-05-30,75.03
2017-05-31,74.94
2017-06-01,75.49
2017-06-02,75.35
2017-06-05,74.71
2017-06-06,74.83
2017-06-07,74.76
2017-06-08,75.88
2017-06-09,76.12
2017-06-12,75.54
2017-06-13,75.9
2017-06-14,75.69
2017-06-15,75.38
2017-06-16,75.19
2017-06-19,75.78
2017-06-20,75.19
2017-06-21,75.84
2017-06-22,75.46
2017-06-23,75.14
2017-06-26,75.72
2017-06-27,74.91
2017-06-28,75.82
2017-06-29,74.65
2017-06-30,74.06
2017-07-03,75.72
2017-07-04,75.93
2017-07-05,75.43
2017-07-06,75.82
2017-07-07,75.65
2017-07-10,76.35
2017-07-11,76.14
2017-07-12,77.31
2017-07-13,77.44
2017-07-14,77.36
2017-07-17,77.49
2017-07-18,76.95
2017-07-19,77.28
2017-07-20,77.28
2017-07-21,76.42
2017-07-24,76.79
2017-07-25,77.44
2017-07-26,77.74
2017-07-27,78.02
2017-07-28,77.27
2017-07-31,77.61
2017-08-01,77.9
2017-08-02,77.83
2017-08-03,78.52
2017-08-04,79.13
2017-08-07,79.3
2017-08-08,79.51
2017-08-09,78.86
2017-08-10,78.26
2017-08-11,77.06
2017-08-14,78.43
2017-08-16,79.22
2017-08-17,78.68
2017-08-18,78.59
2017-08-21,78.38
2017-08-22,78.36
2017-08-23,78.01
2017-08-24,78.51
2017-08-25,78.53
2017-08-28,78.45
2017-08-29,77.23
2017-08-30,77.58
2017-08-31,78.25
2017-09-01,78.82
2017-09-04,78.65
2017-09-05,78.45
2017-09-06,78.71
2017-09-07,78.39
2017-09-08,78.52
2017-09-11,79.73
2017-09-12,80.19
2017-09-13,80.3
2017-09-14,80.41
2017-09-15,80.13
2017-09-18,80.84
2017-09-19,81.02
2017-09-20,80.88
2017-09-21,81.29
2017-09-22,81.48
2017-09-25,81.05
2017-09-26,80.96
2017-09-27,81.72
2017-09-28,81.63
2017-09-29,81.96
2017-10-02,82.37
2017-10-03,82.41
2017-10-04,81.28
2017-10-05,81.51
2017-10-06,80.98
2017-10-09,81.21
2017-10-10,80.81
2017-10-11,81.54
2017-10-12,80.99
2017-10-13,81.09
2017-10-16,81.16
2017-10-17,80.87
2017-10-18,80.78
2017-10-19,80.03
2017-10-20,80.74
2017-10-23,80.88
2017-10-24,81.79
2017-10-25,81.22
2017-10-26,82.52
2017-10-27,82.05
2017-10-30,82.24
2017-10-31,82.55
2017-11-01,83.23
2017-11-02,83.39
2017-11-03,83.22
2017-11-06,83.32
2017-11-07,83.22
2017-11-08,82.55
2017-11-09,81.98
2017-11-10,81.61
2017-11-13,81.18
2017-11-14,80.65
2017-11-15,80.33
2017-11-16,80.24
2017-11-17,79.87
2017-11-20,80.46
2017-11-21,80.96
2017-11-22,80.9
2017-11-23,81.05
2017-11-24,81.25
2017-11-27,80.45
2017-11-28,80.72
2017-11-29,80.79
2017-11-30,81.16
2017-12-01,80.23
2017-12-04,80.93
2017-12-05,81.28
2017-12-06,80.91
2017-12-07,81.3
2017-12-08,82.49
2017-12-11,82.26
2017-12-12,82.32
2017-12-13,81.34
2017-12-14,80.59
2017-12-15,79.94
2017-12-18,81.07
2017-12-19,80.64
2017-12-20,80.02
2017-12-21,80.52
2017-12-22,80.4
2017-12-27,80.43
2017-12-28,80.06
2017-12-29,79.22
2018-01-02,79.16
2018-01-03,79.3
2018-01-04,81.46
2018-01-05,82.37
2018-01-08,82.75
2018-01-09,83.34
2018-01-10,83.81
2018-01-11,84.42
2018-01-12,84.81
2018-01-15,85.43
2018-01-16,84.96
2018-01-17,85.03
2018-01-18,85.47
2018-01-19,86.06
2018-01-22,86.74
2018-01-23,86.54
2018-01-24,85.9
2018-01-25,85.97
2018-01-26,86.5
