Date,Price
2016-05-02,168.27
2016-05-03,166.91
2016-05-04,166.49001
2016-05-05,168.67
2016-05-06,167.37
2016-05-09,168.64
2016-05-10,170.42
2016-05-11,169.75999
2016-05-12,168.95
2016-05-13,171.27
2016-05-16,170.25999
2016-05-17,169.95
2016-05-18,170.38
2016-05-19,169.55
2016-05-20,171.75999
2016-05-23,171.67
2016-05-24,174.14999
2016-05-25,175.42999
2016-05-26,175.06
2016-05-27,176.37
2016-05-30,177.0
2016-05-31,176.50999
2016-06-01,175.60001
2016-06-02,175.96001
2016-06-03,172.94
2016-06-06,173.89999
2016-06-07,174.85001
2016-06-08,173.78999
2016-06-09,174.46001
2016-06-10,174.7
2016-06-13,173.52
2016-06-14,172.8
2016-06-15,173.28999
2016-06-16,173.47
2016-06-17,171.94
2016-06-20,173.7
2016-06-21,173.67999
2016-06-22,174.11
2016-06-23,173.92
2016-06-24,173.42999
2016-06-27,170.39
2016-06-28,171.14999
2016-06-29,174.21001
2016-06-30,176.06
2016-07-01,177.07001
2016-07-04,177.17999
2016-07-05,176.56
2016-07-06,176.74001
2016-07-07,178.17
2016-07-08,180.49001
2016-07-11,181.85001
2016-07-12,182.56
2016-07-13,181.78999
2016-07-14,182.94
2016-07-15,183.36
2016-07-18,183.53
2016-07-19,184.41
2016-07-20,185.57001
2016-07-21,185.3
2016-07-22,185.46001
2016-07-25,185.14999
2016-07-26,184.96001
2016-07-27,185.05
2016-07-28,183.14999
2016-07-29,182.86
2016-08-01,182.83
2016-08-02,180.24001
2016-08-03,181.46001
2016-08-04,182.62
2016-08-05,184.89999
2016-08-08,185.12
2016-08-09,184.94
2016-08-10,182.92999
2016-08-11,184.07001
2016-08-12,183.87
2016-08-16,182.09
2016-08-17,181.08
2016-08-18,181.39999
2016-08-19,181.25999
2016-08-22,181.02
2016-08-23,182.02
2016-08-24,182.5
2016-08-25,181.67999
2016-08-26,182.46001
2016-08-29,183.62
2016-08-30,183.56
2016-08-31,182.97
2016-09-01,181.78
2016-09-02,183.81
2016-09-05,183.95
2016-09-06,182.72
2016-09-07,182.78999
2016-09-08,182.39
2016-09-09,181.02
2016-09-12,179.22
2016-09-13,178.14
2016-09-14,178.2
2016-09-15,179.77
2016-09-16,180.14
2016-09-19,181.2
2016-09-20,180.84
2016-09-21,181.28
2016-09-22,182.41
2016-09-23,182.31
2016-09-26,179.62
2016-09-27,181.28999
2016-09-28,181.24001
2016-09-29,181.62
2016-09-30,181.92
2016-10-03,181.52
2016-10-04,182.52
2016-10-05,181.78
2016-10-06,181.84
2016-10-07,181.89999
2016-10-10,183.24001
2016-10-11,182.55
2016-10-12,183.28999
2016-10-13,181.66
2016-10-14,183.49001
2016-10-17,182.7
2016-10-18,183.78
2016-10-19,184.57001
2016-10-20,184.50999
2016-10-21,185.39
2016-10-24,186.42
2016-10-25,185.81
2016-10-26,185.28999
2016-10-27,184.66
2016-10-28,184.52
2016-10-31,183.49001
2016-11-01,180.3
2016-11-02,178.5
2016-11-03,178.03
2016-11-04,177.98
2016-11-07,181.8
2016-11-08,182.88
2016-11-09,186.10001
2016-11-10,187.53999
2016-11-11,187.86
2016-11-14,190.37
2016-11-15,191.03
2016-11-16,192.56
2016-11-17,193.56
2016-11-18,194.75999
2016-11-21,195.33
2016-11-22,195.33
2016-11-23,196.61
2016-11-24,197.41
2016-11-25,197.03
2016-11-28,196.84
2016-11-29,196.69
2016-11-30,197.53
2016-12-01,195.45
2016-12-02,194.59
2016-12-05,194.56
2016-12-06,194.17999
2016-12-07,194.85001
2016-12-08,199.72
2016-12-09,202.03
2016-12-12,201.74001
2016-12-13,201.58
2016-12-14,201.27
2016-12-15,206.34
2016-12-16,204.92999
2016-12-19,204.96001
2016-12-20,206.87
2016-12-21,205.92999
2016-12-22,204.50999
2016-12-23,204.74001
2016-12-27,205.49001
2016-12-28,205.97
2016-12-29,203.10001
2016-12-30,201.49001
2017-01-02,203.87
2017-01-03,204.56
2017-01-04,204.91
2017-01-05,202.27
2017-01-06,203.91
2017-01-09,203.66
2017-01-10,203.73
2017-01-11,204.10001
2017-01-12,200.66
2017-01-13,203.16
2017-01-16,203.03999
2017-01-17,200.71001
2017-01-18,201.13
2017-01-19,202.03999
2017-01-20,201.7
2017-01-23,199.48
2017-01-24,200.28
2017-01-25,202.25
2017-01-26,204.17999
2017-01-27,203.27
2017-01-30,201.32001
2017-01-31,199.00999
2017-02-01,200.63
2017-02-02,200.08
2017-02-03,201.72
2017-02-06,202.58
2017-02-07,203.5
2017-02-08,203.17999
2017-02-09,205.33
2017-02-10,205.85001
2017-02-13,208.09
2017-02-14,208.78
2017-02-15,209.92
2017-02-16,208.45
2017-02-17,209.14
2017-02-20,210.41
2017-02-21,212.39999
2017-02-22,212.7
2017-02-23,211.78
2017-02-24,211.64999
2017-02-27,211.53
2017-02-28,211.62
2017-03-01,215.14
2017-03-02,215.28
2017-03-03,214.09
2017-03-06,212.64999
2017-03-07,212.7
2017-03-08,213.33
2017-03-09,212.55
2017-03-10,211.12
2017-03-13,211.19
2017-03-14,210.95
2017-03-15,212.32001
2017-03-16,210.89
2017-03-17,210.62
2017-03-20,210.17999
2017-03-21,206.96001
2017-03-22,206.42999
2017-03-23,207.89
2017-03-24,206.7
2017-03-27,204.23
2017-03-28,205.77
2017-03-29,208.41
2017-03-30,209.91
2017-03-31,210.55
2017-04-03,209.64
2017-04-04,210.14
2017-04-05,211.53999
2017-04-06,210.77
2017-04-07,211.14
2017-04-10,211.42
2017-04-11,209.58
2017-04-12,210.07001
2017-04-13,210.0
2017-04-18,207.88
2017-04-19,208.73
2017-04-20,207.46001
2017-04-21,209.17
2017-04-24,207.66
2017-04-25,207.72
2017-04-26,209.81
2017-04-27,208.92999
2017-04-28,208.07001
2017-05-02,208.38
2017-05-03,207.87
2017-05-04,207.89
2017-05-05,207.08
2017-05-08,208.7
2017-05-09,209.85001
2017-05-10,210.03
2017-05-11,209.14
2017-05-12,208.42
2017-05-15,208.42
2017-05-16,206.31
2017-05-17,202.87
2017-05-18,202.66
2017-05-19,202.84
2017-05-22,202.78999
2017-05-23,203.32001
2017-05-24,204.72
2017-05-25,205.09
2017-05-26,206.0
2017-05-29,206.03999
2017-05-30,205.59
2017-05-31,204.09
2017-06-01,205.56
2017-06-02,205.78
2017-06-05,206.42999
2017-06-06,205.77
2017-06-07,206.05
2017-06-08,206.83
2017-06-09,208.35001
2017-06-12,206.60001
2017-06-13,207.3
2017-06-14,206.17999
2017-06-15,207.82001
2017-06-16,206.92
2017-06-19,209.25999
2017-06-20,209.66
2017-06-21,208.59
2017-06-22,208.7
2017-06-23,207.83
2017-06-26,207.69
