Date,Price
2018-10-19,4.92
2018-10-22,4.9
2018-10-23,4.8119
2018-10-24,4.7887
2018-10-25,4.6428
2018-10-26,4.683
2018-10-29,4.6215
2018-10-30,4.6699
2018-10-31,4.7693
2018-11-01,4.7255
2018-11-02,4.7946
2018-11-05,4.7323
2018-11-06,4.784
2018-11-07,4.7598
2018-11-08,4.8241
2018-11-09,4.7951
2018-11-12,4.1925
2018-11-13,4.1925
2018-11-14,4.1925
2018-11-15,4.1925
2018-11-16,4.1925
2018-11-19,4.0855
2018-11-20,4.072
2018-11-21,4.072
2018-11-22,4.0905
2018-11-23,4.0905
2018-11-26,4.1635
2018-11-27,4.1635
2018-11-28,4.1635
2018-11-29,4.1635
2018-11-30,4.1635
2018-12-03,4.1635
2018-12-04,4.1885
2018-12-05,4.1885
2018-12-06,4.1885
2018-12-07,4.1885
2018-12-10,3.996
2018-12-11,4.0445
2018-12-12,4.102
2018-12-13,4.102
2018-12-14,4.102
2018-12-17,4.102
2018-12-18,4.102
2018-12-19,4.102
2018-12-20,4.102
2018-12-21,4.102
2018-12-27,4.102
2018-12-28,4.102
2019-01-02,3.9015
2019-01-03,3.9015
2019-01-04,3.9015
2019-01-07,3.993
2019-01-08,3.993
2019-01-09,3.993
2019-01-10,4.0245
2019-01-11,4.003
2019-01-14,4.003
2019-01-15,4.071
2019-01-16,4.071
2019-01-17,4.07
2019-01-18,4.07
2019-01-21,4.07
2019-01-22,4.0955
2019-01-23,4.0955
2019-01-24,4.0955
2019-01-25,4.0955
2019-01-28,4.072
2019-01-29,4.072
2019-01-30,4.072
2019-01-31,4.072
2019-02-01,4.072
2019-02-04,4.072
2019-02-05,4.072
2019-02-06,4.072
2019-02-07,4.072
2019-02-08,4.038
2019-02-11,4.038
2019-02-12,4.135
2019-02-13,4.1635
2019-02-14,4.145
2019-02-15,4.145
2019-02-18,4.19
2019-02-19,4.19
2019-02-20,4.206
2019-02-21,4.1985
2019-02-22,4.1985
2019-02-25,4.234
2019-02-26,4.234
2019-02-27,4.2125
2019-02-28,4.1695
2019-03-01,4.1695
2019-03-04,4.1695
2019-03-05,4.211
2019-03-06,4.211
2019-03-07,4.164
2019-03-08,4.164
2019-03-11,4.164
2019-03-12,4.164
2019-03-13,4.188
2019-03-14,4.188
2019-03-15,4.186
2019-03-18,4.191
2019-03-19,4.191
2019-03-20,4.1675
2019-03-21,4.196
2019-03-22,4.196
2019-03-25,4.196
2019-03-26,4.245
2019-03-27,4.2325
2019-03-28,4.244
2019-03-29,4.257
2019-04-01,4.257
2019-04-02,4.293
2019-04-03,4.315
2019-04-04,4.302
2019-04-05,4.302
2019-04-08,4.302
2019-04-09,4.266
2019-04-10,4.266
2019-04-11,4.2525
2019-04-12,4.2495
2019-04-15,4.2635
2019-04-16,4.2915
2019-04-17,4.2915
2019-04-18,4.2915
2019-04-23,4.325
2019-04-24,4.325
2019-04-25,4.328
2019-04-26,4.3415
2019-04-29,4.355
2019-04-30,4.3425
2019-05-02,4.3235
2019-05-03,4.3235
2019-05-06,4.3235
2019-05-07,4.279
2019-05-08,4.2295
2019-05-09,4.1495
2019-05-10,4.1495
2019-05-13,4.1295
2019-05-14,4.1955
2019-05-15,4.1955
2019-05-16,4.2405
2019-05-17,4.234
2019-05-20,4.188
2019-05-21,4.188
2019-05-22,4.188
2019-05-23,4.1605
2019-05-24,4.1605
2019-05-27,4.1605
2019-05-28,4.2025
2019-05-29,4.1825
2019-05-30,4.1825
2019-05-31,4.16
2019-06-03,4.15
2019-06-04,4.162
2019-06-05,4.1825
2019-06-06,4.1825
2019-06-07,4.1965
2019-06-11,4.251
2019-06-12,4.2165
2019-06-13,4.2085
2019-06-14,4.224
2019-06-17,4.23
2019-06-18,4.271
2019-06-19,4.282
2019-06-20,4.3015
2019-06-21,4.2685
2019-06-24,4.231
2019-06-25,4.2335
2019-06-26,4.2135
2019-06-27,4.239
2019-06-28,4.256
2019-07-01,4.337
2019-07-02,4.3545
2019-07-03,4.3545
2019-07-04,4.38
2019-07-05,4.367
2019-07-08,4.357
2019-07-09,4.3195
2019-07-10,4.3195
2019-07-11,4.3325
2019-07-12,4.3305
2019-07-15,4.341
2019-07-16,4.3295
2019-07-17,4.3225
2019-07-18,4.271
2019-07-19,4.329
2019-07-22,4.3265
2019-07-23,4.383
2019-07-24,4.39
2019-07-25,4.3565
2019-07-26,4.3565
2019-07-29,4.3555
2019-07-30,4.33
2019-07-31,4.357
2019-08-01,4.357
2019-08-02,4.296
2019-08-05,4.2035
2019-08-06,4.1915
2019-08-07,4.221
2019-08-08,4.271
2019-08-09,4.229
2019-08-12,4.229
2019-08-13,4.25
2019-08-14,4.25
2019-08-15,4.221
2019-08-16,4.2715
2019-08-19,4.2795
2019-08-20,4.268
2019-08-21,4.2865
2019-08-22,4.2695
2019-08-23,4.2695
2019-08-26,4.2695
2019-08-27,4.2865
2019-08-28,4.2865
2019-08-29,4.312
2019-08-30,4.312
2019-09-02,4.3515
2019-09-03,4.359
2019-09-04,4.359
2019-09-05,4.397
2019-09-06,4.404
2019-09-09,4.433
2019-09-10,4.433
2019-09-11,4.4955
2019-09-12,4.4955
2019-09-13,4.562
2019-09-16,4.5675
2019-09-17,4.546
2019-09-18,4.5345
2019-09-19,4.598
2019-09-20,4.6015
2019-09-23,4.582
2019-09-24,4.6115
2019-09-25,4.6195
2019-09-26,4.6445
2019-09-27,4.593
2019-09-30,4.5915
2019-10-01,4.5915
2019-10-02,4.5055
2019-10-04,4.558
2019-10-07,4.5655
2019-10-08,4.541
2019-10-09,4.541
2019-10-10,4.5515
2019-10-11,4.6025
2019-10-14,4.58
2019-10-15,4.6325
2019-10-16,4.613
2019-10-17,4.576
2019-10-18,4.56
2019-10-21,4.603
2019-10-22,4.6105
2019-10-23,4.6365
2019-10-24,4.641
2019-10-25,4.6465
2019-10-28,4.6505
2019-10-29,4.6735
2019-10-30,4.6625
2019-10-31,4.6535
2019-11-01,4.7015
2019-11-04,4.747
2019-11-05,4.7895
2019-11-06,4.7805
2019-11-07,4.833
2019-11-08,4.8185
2019-11-11,4.798
2019-11-12,4.8375
2019-11-13,4.81
2019-11-14,4.777
2019-11-15,4.799
2019-11-18,4.7905
2019-11-19,4.7775
2019-11-20,4.7805
2019-11-21,4.7695
2019-11-22,4.7865
2019-11-25,4.8305
2019-11-26,4.824
2019-11-27,4.84
2019-11-28,4.824
2019-11-29,4.7915
2019-12-02,4.7235
2019-12-03,4.744
2019-12-04,4.8205
2019-12-05,4.7975
2019-12-06,4.877
2019-12-09,4.852
2019-12-10,4.843
2019-12-11,4.832
2019-12-12,4.834
2019-12-13,4.8395
2019-12-16,4.8655
2019-12-17,4.851
2019-12-18,4.8425
2019-12-19,4.846
2019-12-20,4.864
2019-12-23,4.8465
2019-12-27,4.8055
2019-12-30,4.782
2020-01-02,4.8145
2020-01-03,4.795
2020-01-06,4.795
2020-01-07,4.8295
2020-01-08,4.8285
2020-01-09,4.866
2020-01-10,4.836
2020-01-13,4.8225
2020-01-14,4.845
2020-01-15,4.8205
2020-01-16,4.8275
2020-01-17,4.8425
2020-01-20,4.872
2020-01-21,4.8425
2020-01-22,4.8575
2020-01-23,4.8635
2020-01-24,4.8785
2020-01-27,4.793
2020-01-28,4.822
2020-01-29,4.828
2020-01-30,4.759
2020-01-31,4.6995
2020-02-03,4.744
2020-02-04,4.83
2020-02-05,4.8775
2020-02-06,4.92
2020-02-07,4.908
2020-02-10,4.9
2020-02-11,4.936
2020-02-12,4.918
2020-02-13,4.9095
2020-02-14,4.8675
2020-02-17,4.849
2020-02-18,4.801
2020-02-19,4.8155
2020-02-20,4.7395
2020-02-21,4.709
2020-02-24,4.558
2020-02-25,4.546
2020-02-26,4.581
2020-02-27,4.411
2020-02-28,4.2725
2020-03-02,4.2785
2020-03-03,4.284
2020-03-04,4.3325
2020-03-05,4.281
2020-03-06,4.171
2020-03-09,3.956
2020-03-10,3.976
2020-03-11,3.994
2020-03-12,3.544
2020-03-13,3.6575
2020-03-16,3.5495
2020-03-17,3.689
2020-03-18,3.65
2020-03-19,3.791
2020-03-20,3.88
2020-03-23,3.7225
2020-03-24,4.002
2020-03-25,3.989
2020-03-26,4.0845
2020-03-27,4.1065
2020-03-30,4.1115
2020-03-31,4.0655
2020-04-01,3.9165
2020-04-02,3.9185
2020-04-03,3.8745
2020-04-06,4.05
2020-04-07,4.185
2020-04-08,4.12
2020-04-09,4.1525
2020-04-14,4.1945
2020-04-15,4.168
2020-04-16,4.153
2020-04-17,4.171
2020-04-20,4.1915
2020-04-21,4.104
2020-04-22,4.1785
2020-04-23,4.2355
2020-04-24,4.224
2020-04-27,4.286
2020-04-28,4.3635
2020-04-29,4.4415
2020-04-30,4.263
2020-05-04,4.1465
2020-05-05,4.2685
2020-05-06,4.251
2020-05-07,4.294
2020-05-08,4.3385
2020-05-11,4.39
2020-05-12,4.3695
2020-05-13,4.3625
2020-05-14,4.285
2020-05-15,4.288
2020-05-18,4.382
2020-05-19,4.3475
2020-05-20,4.3845
2020-05-21,4.3845
2020-05-22,4.3515
2020-05-25,4.4405
2020-05-26,4.4695
2020-05-27,4.515
2020-05-28,4.5765
2020-05-29,4.467
2020-06-02,4.5475
2020-06-03,4.5625
2020-06-04,4.484
2020-06-05,4.562
2020-06-08,4.5725
2020-06-09,4.5505
2020-06-10,4.5575
2020-06-11,4.5575
2020-06-12,4.4835
2020-06-15,4.4045
2020-06-16,4.5135
2020-06-17,4.5815
2020-06-18,4.563
2020-06-19,4.5935
2020-06-22,4.5465
2020-06-23,4.5645
2020-06-24,4.4695
2020-06-25,4.513
2020-06-26,4.503
2020-06-29,4.4915
2020-06-30,4.472
2020-07-01,4.4205
2020-07-02,4.484
2020-07-03,4.442
2020-07-06,4.5025
2020-07-07,4.4965
2020-07-08,4.4275
2020-07-09,4.424
2020-07-10,4.48
2020-07-13,4.4985
2020-07-14,4.459
2020-07-15,4.534
2020-07-16,4.4745
2020-07-17,4.465
2020-07-20,4.4705
2020-07-21,4.4695
2020-07-22,4.41
2020-07-23,4.4145
2020-07-24,4.3775
2020-07-27,4.409
2020-07-28,4.4125
2020-07-29,4.3705
2020-07-30,4.293
2020-07-31,4.2
2020-08-03,4.292
2020-08-04,4.3285
2020-08-05,4.316
2020-08-06,4.2975
2020-08-07,4.3185
2020-08-10,4.3435
2020-08-11,4.416
2020-08-12,4.483
2020-08-13,4.4615
2020-08-14,4.4625
2020-08-17,4.46
