Date,Price
2016-05-02,14.425
2016-05-03,14.22
2016-05-04,14.045
2016-05-05,14.005
2016-05-06,13.925
2016-05-09,14.105
2016-05-10,14.25
2016-05-11,14.235
2016-05-12,14.24
2016-05-13,14.36
2016-05-16,14.28
2016-05-17,14.275
2016-05-18,14.365
2016-05-19,14.255
2016-05-20,14.39
2016-05-23,14.455
2016-05-24,14.665
2016-05-25,14.75
2016-05-26,14.83
2016-05-27,14.97
2016-05-30,14.94
2016-05-31,14.815
2016-06-01,14.79
2016-06-02,16.3565
2016-06-03,14.665
2016-06-06,14.75
2016-06-07,14.905
2016-06-08,14.83
2016-06-09,14.74
2016-06-10,14.53
2016-06-13,14.24
2016-06-14,14.135
2016-06-15,14.18
2016-06-16,14.14
2016-06-17,14.235
2016-06-20,14.49
2016-06-21,14.66
2016-06-22,14.71
2016-06-23,14.715
2016-06-24,14.38
2016-06-27,14.04
2016-06-28,14.27
2016-06-29,14.59
2016-06-30,14.745
2016-07-01,14.855
2016-07-04,14.795
2016-07-05,14.615
2016-07-06,14.515
2016-07-07,14.665
2016-07-08,14.745
2016-07-11,14.91
2016-07-12,14.875
2016-07-13,14.89
2016-07-14,14.97
2016-07-15,14.955
2016-07-18,14.975
2016-07-19,14.925
2016-07-20,15.07
2016-07-21,15.01
2016-07-22,15.06
2016-07-25,15.075
2016-07-26,15.05
2016-07-27,15.03
2016-07-28,14.845
2016-07-29,15.005
2016-08-01,14.965
2016-08-02,14.79
2016-08-03,14.74
2016-08-04,14.885
2016-08-05,15.05
2016-08-08,14.97
2016-08-09,15.06
2016-08-10,15.04
2016-08-11,16.5797
2016-08-12,16.5809
2016-08-16,15.125
2016-08-17,16.2872
2016-08-18,15.085
2016-08-19,16.2417
2016-08-22,14.965
2016-08-23,15.06
2016-08-24,16.3817
2016-08-25,14.905
2016-08-26,14.945
2016-08-29,16.3514
2016-08-30,16.4478
2016-08-31,14.95
2016-09-01,14.835
2016-09-02,16.5753
2016-09-05,15.19
2016-09-06,15.185
2016-09-07,15.255
2016-09-08,15.185
2016-09-09,15.055
2016-09-12,14.985
2016-09-13,16.3302
2016-09-14,14.905
2016-09-15,14.95
2016-09-16,14.855
2016-09-19,14.95
2016-09-20,16.4493
2016-09-21,15.1
2016-09-22,16.5973
2016-09-23,16.5323
2016-09-26,14.985
2016-09-27,15.02
2016-09-28,16.4353
2016-09-29,15.045
2016-09-30,14.945
2016-10-03,14.98
2016-10-04,15.075
2016-10-05,14.995
2016-10-06,14.94
2016-10-07,14.85
2016-10-10,14.92
2016-10-11,14.895
2016-10-12,14.82
2016-10-13,14.7
2016-10-14,14.9
2016-10-17,14.735
2016-10-18,14.87
2016-10-19,16.2091
2016-10-20,14.905
2016-10-21,14.885
2016-10-24,14.8
2016-10-25,15.8894
2016-10-26,15.8239
2016-10-27,14.655
2016-10-28,14.605
2016-10-31,14.505
2016-11-01,14.44
2016-11-02,14.335
2016-11-03,14.21
2016-11-04,14.18
2016-11-07,14.42
2016-11-08,14.44
2016-11-09,14.73
2016-11-10,14.79
2016-11-11,14.715
2016-11-14,14.775
2016-11-15,14.74
2016-11-16,14.77
2016-11-17,14.865
2016-11-18,14.805
2016-11-21,14.665
2016-11-22,14.485
2016-11-23,14.51
2016-11-24,14.57
2016-11-25,14.715
2016-11-28,14.605
2016-11-29,14.62
2016-11-30,14.67
2016-12-01,14.505
2016-12-02,14.48
2016-12-05,14.51
2016-12-06,14.655
2016-12-07,14.665
2016-12-08,15.9282
2016-12-09,15.075
2016-12-12,14.925
2016-12-13,15.16
2016-12-14,15.125
2016-12-15,15.27
2016-12-16,15.3
2016-12-19,15.38
2016-12-20,15.4
2016-12-21,15.36
2016-12-22,15.35
2016-12-23,15.315
2016-12-27,15.33
2016-12-28,15.385
2016-12-29,15.355
2016-12-30,15.325
2017-01-02,15.41
2017-01-03,15.515
2017-01-04,15.56
2017-01-05,15.65
2017-01-06,15.68
2017-01-09,15.67
2017-01-10,15.705
2017-01-11,15.705
2017-01-12,15.58
2017-01-13,15.73
2017-01-16,15.59
2017-01-17,15.495
2017-01-18,15.525
2017-01-19,15.445
2017-01-20,15.43
2017-01-23,15.37
2017-01-24,15.36
2017-01-25,15.63
