Date,Price
2016-05-02,112.06
2016-05-03,109.82
2016-05-04,108.25
2016-05-05,109.42
2016-05-06,108.93
2016-05-09,108.75
2016-05-10,109.95
2016-05-11,109.76
2016-05-12,109.26
2016-05-13,109.81
2016-05-17,110.9
2016-05-18,112.57
2016-05-19,111.23
2016-05-20,112.41
2016-05-23,111.8
2016-05-24,115.17
2016-05-25,116.6
2016-05-26,116.31
2016-05-27,116.34
2016-05-30,116.46
2016-05-31,114.94
2016-06-01,112.52
2016-06-02,113.02
2016-06-03,112.43
2016-06-06,112.72
2016-06-07,113.88
2016-06-08,113.57
2016-06-09,112.6
2016-06-10,110.01
2016-06-13,107.81
2016-06-14,105.44
2016-06-15,106.4
2016-06-16,106.38
2016-06-17,108.22
2016-06-20,113.96
2016-06-21,114.86
2016-06-22,115.46
2016-06-23,117.19
2016-06-24,106.77
2016-06-27,100.62
2016-06-28,104.92
2016-06-29,109.66
2016-06-30,110.47
2016-07-01,110.99
2016-07-04,110.29
2016-07-05,108.84
2016-07-06,106.87
2016-07-07,108.08
2016-07-08,109.53
2016-07-11,111.17
2016-07-12,113.24
2016-07-13,112.13
2016-07-14,113.26
2016-07-15,113.04
2016-07-18,113.71
2016-07-19,113.25
2016-07-20,113.93
2016-07-21,113.91
2016-07-22,113.56
2016-07-25,113.51
2016-07-26,114.01
2016-07-27,114.18
2016-07-28,112.56
2016-07-29,113.16
2016-08-01,112.06
2016-08-02,111.59
2016-08-03,111.98
2016-08-04,112.72
2016-08-05,113.44
2016-08-08,113.7
2016-08-09,113.92
2016-08-10,113.3
2016-08-11,114.5
2016-08-12,114.17
2016-08-15,114.05
2016-08-16,113.39
2016-08-17,112.96
2016-08-18,113.84
2016-08-19,113.04
2016-08-22,113.23
2016-08-23,114.23
2016-08-24,114.76
2016-08-25,113.83
2016-08-26,114.33
2016-08-29,114.21
2016-08-30,114.41
2016-08-31,114.02
2016-09-01,114.53
2016-09-02,117.44
2016-09-05,117.41
2016-09-06,116.66
2016-09-07,116.22
2016-09-08,115.77
2016-09-09,114.51
2016-09-12,113.61
2016-09-13,111.72
2016-09-14,111.8
2016-09-15,113.03
2016-09-16,112.48
2016-09-19,113.88
2016-09-20,113.54
2016-09-21,113.71
2016-09-22,115.23
2016-09-23,114.17
2016-09-26,112.42
2016-09-27,113.4
2016-09-28,113.87
2016-09-29,114.41
2016-09-30,114.75
2016-10-04,115.61
2016-10-05,114.6
2016-10-06,113.67
2016-10-07,112.03
2016-10-10,112.68
2016-10-11,111.89
2016-10-12,111.43
2016-10-13,110.45
2016-10-14,111.24
2016-10-17,110.13
2016-10-18,112.25
2016-10-19,112.64
2016-10-20,112.75
2016-10-21,112.97
2016-10-24,112.24
2016-10-25,112.38
2016-10-26,111.75
2016-10-27,111.66
2016-10-28,111.46
2016-10-31,110.91
2016-11-01,109.66
2016-11-02,108.61
2016-11-03,109.01
2016-11-04,108.11
2016-11-07,109.81
2016-11-08,109.98
2016-11-09,113.07
2016-11-10,113.05
2016-11-11,112.26
2016-11-14,112.72
2016-11-15,112.8
2016-11-16,112.99
2016-11-17,113.95
2016-11-18,113.23
2016-11-21,114.42
2016-11-22,114.56
2016-11-23,115.35
2016-11-24,115.82
2016-11-25,115.63
2016-11-28,114.6
2016-11-29,114.91
2016-11-30,114.7
2016-12-01,115.0
2016-12-02,115.06
2016-12-05,115.31
2016-12-06,115.74
2016-12-07,116.6
2016-12-08,118.12
2016-12-09,119.42
2016-12-12,118.45
2016-12-13,119.71
2016-12-14,119.51
2016-12-15,120.33
2016-12-16,119.42
2016-12-19,119.99
2016-12-20,120.58
2016-12-21,119.99
2016-12-22,119.5
2016-12-23,119.22
2016-12-27,119.47
2016-12-28,120.5
2016-12-29,119.81
2016-12-30,120.4
2017-01-02,121.53
2017-01-03,121.87
2017-01-04,121.67
2017-01-05,121.59
2017-01-06,121.25
2017-01-09,120.12
2017-01-10,120.64
2017-01-11,121.27
2017-01-12,120.33
2017-01-13,121.49
2017-01-16,120.31
2017-01-17,120.59
2017-01-18,120.79
2017-01-19,120.74
2017-01-20,119.99
2017-01-23,120.06
2017-01-24,120.07
2017-01-25,121.52
2017-01-26,122.07
2017-01-27,121.79
2017-01-30,120.33
2017-01-31,119.58
2017-02-01,120.66
2017-02-02,119.69
2017-02-03,120.34
2017-02-06,120.17
2017-02-07,121.04
2017-02-08,121.64
2017-02-09,122.7
2017-02-10,123.1
2017-02-13,124.08
2017-02-14,123.84
2017-02-15,124.24
2017-02-16,123.5
2017-02-17,123.84
2017-02-20,124.28
2017-02-21,124.85
2017-02-22,125.19
2017-02-23,125.49
2017-02-24,124.58
2017-02-27,124.08
2017-02-28,123.78
2017-03-01,125.38
