Date,Price
2016-05-02,99.07
2016-05-03,97.35
2016-05-04,96.09
2016-05-05,96.2
2016-05-06,96.71
2016-05-09,97.7
2016-05-10,98.22
2016-05-11,97.65
2016-05-12,96.49
2016-05-13,97.33
2016-05-16,97.13
2016-05-17,96.59
2016-05-18,97.27
2016-05-19,95.92
2016-05-20,96.99
2016-05-23,96.47
2016-05-24,98.5
2016-05-26,100.53
2016-05-27,100.52
2016-05-30,101.15
2016-05-31,100.39
2016-06-01,99.7
2016-06-02,99.98
2016-06-03,98.81
2016-06-06,99.11
2016-06-07,100.71
2016-06-08,99.8
2016-06-09,98.65
2016-06-10,96.2
2016-06-13,94.69
2016-06-14,93.03
2016-06-15,94.11
2016-06-16,93.62
2016-06-17,93.96
2016-06-20,97.52
2016-06-21,98.23
2016-06-22,99.17
2016-06-23,100.25
2016-06-24,93.49
2016-06-27,90.68
2016-06-28,92.27
2016-06-29,93.91
2016-06-30,94.67
2016-07-01,95.62
2016-07-04,95.07
2016-07-05,93.18
2016-07-06,91.63
2016-07-07,92.17
2016-07-08,94.33
2016-07-11,96.15
2016-07-12,97.53
2016-07-13,97.34
2016-07-14,98.61
2016-07-15,98.37
2016-07-18,98.54
2016-07-19,97.71
2016-07-20,99.18
2016-07-21,99.51
2016-07-22,99.26
2016-07-25,99.62
2016-07-26,100.29
2016-07-27,100.94
2016-07-28,100.74
2016-07-29,100.93
2016-08-01,101.17
2016-08-02,99.25
2016-08-03,99.39
2016-08-04,99.93
2016-08-05,101.3
2016-08-08,102.1
2016-08-09,104.63
2016-08-10,104.22
2016-08-11,104.89
2016-08-12,104.84
2016-08-16,104.66
2016-08-17,103.1
2016-08-19,103.19
2016-08-22,102.49
2016-08-23,103.61
2016-08-24,103.88
2016-08-25,102.95
2016-08-26,103.56
2016-08-29,103.16
2016-08-30,104.31
2016-08-31,103.75
2016-09-01,102.91
2016-09-02,104.52
2016-09-05,104.4
2016-09-06,104.49
2016-09-07,105.14
2016-09-08,104.37
2016-09-09,103.32
2016-09-12,101.9
2016-09-13,101.53
2016-09-14,101.64
2016-09-15,102.15
2016-09-16,100.4
2016-09-19,101.48
2016-09-20,101.79
2016-09-21,102.18
2016-09-22,104.32
2016-09-23,103.91
2016-09-26,101.57
2016-09-27,101.15
2016-09-28,102.08
2016-09-29,101.69
2016-09-30,102.81
2016-10-03,102.43
2016-10-04,104.0
2016-10-05,103.58
2016-10-06,103.63
2016-10-07,102.67
2016-10-10,103.98
2016-10-11,103.35
2016-10-12,102.86
2016-10-13,101.76
2016-10-14,103.5
2016-10-17,102.62
2016-10-18,103.98
2016-10-19,104.19
2016-10-20,104.61
2016-10-21,104.69
2016-10-24,105.33
2016-10-25,105.13
2016-10-26,104.73
2016-10-27,104.79
2016-10-28,104.57
2016-10-31,104.5
2016-11-01,102.76
2016-11-02,101.5
2016-11-03,101.01
2016-11-04,100.41
2016-11-07,102.09
2016-11-08,102.43
2016-11-09,104.05
2016-11-10,104.02
2016-11-11,104.24
2016-11-14,104.7
2016-11-15,105.06
2016-11-16,104.37
2016-11-17,104.48
2016-11-18,104.4
2016-11-21,104.41
2016-11-22,104.71
2016-11-23,104.36
2016-11-24,104.52
2016-11-25,104.55
2016-11-28,103.4
2016-11-29,103.74
2016-11-30,103.97
2016-12-01,102.8
2016-12-02,102.97
2016-12-05,104.63
2016-12-06,105.42
2016-12-07,107.39
2016-12-08,109.41
2016-12-09,109.62
2016-12-12,109.37
2016-12-13,110.45
2016-12-14,110.19
2016-12-15,111.25
2016-12-16,111.31
2016-12-19,111.65
2016-12-20,112.13
2016-12-21,112.14
2016-12-22,111.9
2016-12-23,111.95
2016-12-27,112.19
2016-12-28,112.17
2016-12-29,111.85
2016-12-30,112.03
2017-01-02,113.25
2017-01-03,113.23
2017-01-04,113.17
2017-01-05,113.18
2017-01-06,113.39
2017-01-09,113.11
2017-01-10,113.31
2017-01-11,113.83
2017-01-12,112.72
2017-01-13,113.64
2017-01-16,113.06
2017-01-17,112.99
2017-01-18,113.35
2017-01-19,113.37
2017-01-20,113.57
2017-01-23,112.92
2017-01-24,113.3
2017-01-25,115.63
2017-01-26,115.76
2017-01-27,115.49
2017-01-30,114.12
2017-01-31,113.06
2017-02-01,113.86
2017-02-02,113.72
2017-02-03,114.0
2017-02-06,112.62
2017-02-07,112.83
2017-02-08,112.83
2017-02-09,113.88
2017-02-10,114.0
2017-02-13,115.16
2017-02-14,115.08
2017-02-15,115.33
2017-02-16,114.79
2017-02-17,114.7
2017-02-20,115.65
2017-02-21,116.89
2017-02-22,117.28
2017-02-23,116.64
2017-02-24,115.43
2017-02-27,115.6
2017-02-28,115.76
2017-03-01,117.9
2017-03-02,117.84
2017-03-03,117.44
2017-03-06,116.88
2017-03-07,116.83
2017-03-08,116.96
2017-03-09,117.1
2017-03-10,116.94
2017-03-13,117.22
2017-03-14,117.15
2017-03-15,117.43
2017-03-16,118.09
2017-03-17,118.01
2017-03-20,117.82
2017-03-21,116.84
2017-03-22,116.42
2017-03-23,117.68
2017-03-24,117.91
2017-03-27,117.16
2017-03-28,118.8
2017-03-29,119.23
2017-03-30,119.7
2017-03-31,120.17
2017-04-03,119.89
2017-04-04,119.94
2017-04-05,119.25
2017-04-06,119.52
2017-04-07,119.32
2017-04-10,119.32
2017-04-11,118.5
2017-04-12,118.77
2017-04-13,118.21
2017-04-18,117.49
2017-04-19,117.42
2017-04-20,117.46
2017-04-21,117.8
2017-04-24,121.57
2017-04-25,121.79
2017-04-26,121.81
2017-04-27,121.52
2017-04-28,121.51
2017-05-02,121.99
2017-05-03,122.14
2017-05-04,123.21
2017-05-05,123.99
2017-05-08,123.86
2017-05-09,124.47
2017-05-10,124.4
2017-05-11,123.84
2017-05-12,124.38
2017-05-15,124.62
2017-05-16,124.69
2017-05-17,123.01
2017-05-18,122.65
2017-05-19,123.11
2017-05-22,122.94
2017-05-23,123.32
2017-05-24,123.04
2017-05-25,122.87
2017-05-26,122.68
2017-05-29,123.02
2017-05-30,122.59
2017-05-31,123.08
2017-06-01,123.36
2017-06-02,124.87
2017-06-05,124.38
2017-06-06,123.57
2017-06-07,123.33
2017-06-08,123.86
2017-06-09,124.72
2017-06-12,123.73
2017-06-13,124.33
2017-06-14,124.94
2017-06-15,123.66
2017-06-16,124.1
2017-06-19,125.63
2017-06-20,124.97
2017-06-21,124.41
2017-06-22,124.72
2017-06-23,124.04
2017-06-26,124.46
2017-06-27,123.41
2017-06-28,123.22
2017-06-29,120.85
2017-06-30,120.02
2017-07-03,121.52
2017-07-04,121.37
2017-07-05,121.35
2017-07-06,120.52
2017-07-07,120.52
2017-07-10,121.17
2017-07-11,121.06
2017-07-12,123.14
2017-07-13,123.02
2017-07-14,122.9
2017-07-17,122.65
2017-07-18,121.03
2017-07-19,121.14
2017-07-20,121.06
2017-07-21,119.15
2017-07-24,118.77
2017-07-25,119.5
2017-07-26,119.82
2017-07-27,118.78
2017-07-28,118.3
2017-07-31,118.0
2017-08-01,119.39
2017-08-02,118.55
2017-08-03,118.43
2017-08-04,119.84
2017-08-07,119.29
2017-08-08,119.72
2017-08-09,118.35
2017-08-10,116.92
2017-08-11,116.99
2017-08-14,118.64
2017-08-16,119.45
2017-08-17,118.88
2017-08-18,118.56
2017-08-21,117.43
2017-08-22,119.1
2017-08-23,118.64
2017-08-24,118.71
2017-08-25,118.61
2017-08-28,118.2
2017-08-29,116.32
2017-08-30,116.97
2017-08-31,117.58
2017-09-01,118.26
2017-09-04,117.9
2017-09-05,118.09
2017-09-06,118.98
2017-09-07,119.83
2017-09-08,119.8
2017-09-11,121.4
2017-09-12,121.97
2017-09-13,122.36
2017-09-14,122.19
2017-09-15,121.92
2017-09-18,122.38
2017-09-19,122.34
2017-09-20,122.4
2017-09-21,122.79
2017-09-22,122.68
2017-09-25,122.65
2017-09-26,122.75
2017-09-27,123.31
2017-09-28,123.68
2017-09-29,124.72
2017-10-02,125.57
2017-10-03,125.81
2017-10-04,126.26
2017-10-05,126.24
2017-10-06,126.15
2017-10-09,126.37
2017-10-10,126.1
2017-10-11,126.3
2017-10-12,126.46
2017-10-13,126.57
2017-10-16,126.63
2017-10-17,126.76
2017-10-18,126.95
2017-10-19,126.4
2017-10-20,126.43
2017-10-23,126.59
2017-10-24,126.82
2017-10-25,126.06
2017-10-26,128.02
2017-10-27,128.77
2017-10-30,128.8
2017-10-31,129.73
2017-11-01,131.27
2017-11-02,130.87
2017-11-03,131.28
2017-11-06,131.16
2017-11-07,130.41
2017-11-08,130.41
2017-11-09,128.52
2017-11-10,127.79
2017-11-13,127.46
2017-11-14,126.92
2017-11-15,126.47
2017-11-16,127.0
2017-11-17,126.52
2017-11-20,127.2
2017-11-21,128.22
2017-11-22,126.67
2017-11-23,126.56
2017-11-24,127.24
2017-11-27,126.5
2017-11-28,127.16
2017-11-29,127.1
2017-11-30,127.14
2017-12-01,125.22
2017-12-04,127.1
2017-12-05,127.22
2017-12-06,126.6
2017-12-07,127.02
2017-12-08,128.17999
2017-12-11,127.74
2017-12-12,128.28
2017-12-13,127.84
2017-12-14,127.38
2017-12-15,127.6
2017-12-18,129.66
2017-12-19,128.66
2017-12-20,127.1
2017-12-21,127.56
2017-12-22,127.3
2017-12-27,127.34
2017-12-28,126.34
2017-12-29,125.32
2018-01-02,125.16
2018-01-03,126.48
2018-01-04,128.16
2018-01-05,129.53999
2018-01-08,130.16
2018-01-09,130.34
2018-01-10,129.22
2018-01-11,128.48
2018-01-12,128.82001
2018-01-15,128.60001
2018-01-16,128.8
2018-01-17,128.17999
2018-01-18,129.10001
2018-01-19,130.75999
2018-01-22,130.92
2018-01-23,132.03999
2018-01-24,130.89999
2018-01-25,129.28
2018-01-26,129.8
2018-01-29,129.66
2018-01-30,128.52
2018-01-31,128.3
2018-02-01,126.22
2018-02-02,124.44
2018-02-05,123.4
2018-02-06,120.42
2018-02-07,122.56
2018-02-08,118.66
2018-02-09,117.36
2018-02-12,119.8
2018-02-13,118.76
2018-02-14,120.42
2018-02-15,120.02
2018-02-16,121.14
2018-02-19,120.44
2018-02-20,121.6
2018-02-21,121.32
2018-02-22,121.58
2018-02-23,121.46
2018-02-26,122.04
2018-02-27,121.38
2018-02-28,120.8
2018-03-01,118.28
2018-03-02,115.98
2018-03-05,117.84
2018-03-06,117.88
2018-03-07,119.16
2018-03-08,120.3
2018-03-09,119.98
2018-03-12,120.88
2018-03-13,118.68
2018-03-14,118.94
2018-03-15,120.26
2018-03-16,120.72
2018-03-19,118.78
2018-03-20,119.82
2018-03-21,119.72
2018-03-22,117.76
2018-03-23,115.78
2018-03-26,114.46
2018-03-27,116.54
2018-03-28,115.88
2018-03-29,117.84
2018-04-03,116.9
2018-04-04,116.24
2018-04-05,119.8
2018-04-06,119.0
2018-04-09,119.36
2018-04-10,120.52
2018-04-11,119.54
2018-04-12,120.7
2018-04-13,121.02
2018-04-16,120.54
2018-04-17,122.36
2018-04-18,122.38
2018-04-19,122.16
2018-04-20,121.92
2018-04-23,122.26
2018-04-24,121.94
2018-04-25,120.62
2018-04-26,121.5
2018-04-27,122.34
2018-04-30,122.44
2018-05-02,124.32
2018-05-03,123.38
2018-05-04,124.54
2018-05-07,125.68
2018-05-08,125.44
2018-05-09,125.7
2018-05-10,126.44
2018-05-11,126.14
2018-05-14,125.94
2018-05-15,125.9
2018-05-16,126.08
2018-05-17,127.08
2018-05-18,126.82
2018-05-21,127.48
2018-05-22,127.96
2018-05-23,126.06
2018-05-24,124.62
2018-05-25,125.4
2018-05-28,124.86
2018-05-29,122.86
2018-05-30,124.06
2018-05-31,122.1
2018-06-01,123.36
2018-06-04,123.82
2018-06-05,123.94
2018-06-06,124.48
2018-06-07,124.18
2018-06-08,123.82
2018-06-11,124.52
2018-06-12,124.6
2018-06-13,125.1
2018-06-14,127.2
2018-06-15,126.18
2018-06-18,124.34
2018-06-19,122.94
2018-06-20,123.12
2018-06-21,121.42
2018-06-22,121.96
2018-06-25,119.2
2018-06-26,118.7
2018-06-27,119.66
2018-06-28,117.92
2018-06-29,119.5
2018-07-02,118.74
2018-07-03,119.74
2018-07-04,119.46
2018-07-05,120.88
2018-07-06,121.1
2018-07-09,121.74
2018-07-10,122.32
2018-07-11,120.48
2018-07-12,121.12
2018-07-13,121.54
2018-07-16,121.92
2018-07-17,122.92
2018-07-18,123.74
2018-07-19,123.02
2018-07-20,121.9
2018-07-23,121.66
2018-07-24,123.02
2018-07-25,121.8
2018-07-26,124.3
2018-07-27,124.84
2018-07-30,124.2
2018-07-31,124.36
2018-08-01,123.6
2018-08-02,121.58
2018-08-03,122.38
2018-08-06,122.02
2018-08-07,122.76
2018-08-08,122.44
2018-08-09,122.8
2018-08-10,120.36
2018-08-13,120.0
2018-08-14,119.92
2018-08-16,118.74
2018-08-17,118.36
2018-08-20,119.64
2018-08-21,120.06
2018-08-22,120.12
2018-08-23,119.94
2018-08-24,120.2
2018-08-27,121.62
2018-08-28,121.7
2018-08-29,121.8
2018-08-30,121.14
2018-08-31,119.74
2018-09-03,119.62
2018-09-04,118.34
2018-09-05,116.74
2018-09-06,115.88
2018-09-07,115.86
2018-09-10,116.3
2018-09-11,116.0
2018-09-12,116.74
2018-09-13,116.9
2018-09-14,117.62
2018-09-17,117.36
2018-09-18,117.74
2018-09-19,118.48
2018-09-20,119.54
2018-09-21,120.34
2018-09-24,119.8
2018-09-25,120.0
2018-09-26,120.12
2018-09-27,120.62
2018-09-28,118.84
2018-10-01,119.66
2018-10-02,119.08
2018-10-03,119.9
2018-10-04,118.68
2018-10-05,117.34
2018-10-08,115.78
2018-10-09,116.16
2018-10-10,113.6
2018-10-11,111.98
2018-10-12,111.64
2018-10-15,112.66
2018-10-16,114.2
2018-10-17,113.66
2018-10-18,112.42
2018-10-19,112.0
2018-10-22,111.76
2018-10-23,109.38
2018-10-24,108.4
2018-10-25,109.72
2018-10-26,108.12
2018-10-29,109.98
2018-10-30,109.62
2018-10-31,111.18
2018-11-01,110.9
2018-11-02,111.82
2018-11-05,111.44
2018-11-06,111.36
2018-11-07,112.18
2018-11-08,111.56
2018-11-09,111.7
2018-11-12,109.74
2018-11-13,111.32
2018-11-14,110.56
2018-11-15,110.04
2018-11-16,110.06
2018-11-19,108.9
2018-11-20,107.26
2018-11-21,109.12
2018-11-22,107.98
2018-11-23,108.5
2018-11-26,110.2
2018-11-27,109.66
2018-11-28,109.56
2018-11-29,109.68
2018-11-30,109.02
2018-12-03,111.22
2018-12-04,109.86
2018-12-05,108.52
2018-12-06,104.32
2018-12-07,104.82
2018-12-10,102.8
2018-12-11,104.9
2018-12-12,106.12
2018-12-13,105.78
2018-12-14,105.2
2018-12-17,104.48
2018-12-18,104.26
2018-12-19,104.52
2018-12-20,102.84
2018-12-21,102.98
2018-12-27,100.56
2018-12-28,102.42
2019-01-02,102.54
2019-01-03,101.06
2019-01-04,104.26
2019-01-07,104.06
2019-01-08,104.94
2019-01-09,105.64
2019-01-10,105.66
2019-01-11,105.52
2019-01-14,105.14
2019-01-15,105.54
2019-01-16,105.86
2019-01-17,105.74
2019-01-18,108.7
2019-01-21,107.82
2019-01-22,107.4
2019-01-23,107.14
2019-01-24,107.8
2019-01-25,109.3
2019-01-28,108.66
2019-01-29,108.68
2019-01-30,108.2
2019-01-31,108.1
2019-02-01,108.3
2019-02-04,107.98
2019-02-05,110.04
2019-02-06,109.66
2019-02-07,106.92
2019-02-08,105.64
2019-02-11,106.76
2019-02-12,107.9
2019-02-13,108.26
2019-02-14,107.46
2019-02-15,109.44
2019-02-18,109.34
2019-02-19,109.46
2019-02-20,110.52
2019-02-21,110.66
2019-02-22,111.06
2019-02-25,111.52
2019-02-26,111.86
2019-02-27,111.22
2019-02-28,111.56
2019-03-01,112.34
2019-03-04,112.3
2019-03-05,112.52
2019-03-06,112.26
2019-03-07,111.48
2019-03-08,111.04
2019-03-11,111.74
2019-03-12,111.7
2019-03-13,112.1
2019-03-14,112.28
2019-03-15,113.08
2019-03-18,112.9
2019-03-19,114.18
2019-03-20,112.52
2019-03-21,111.9
2019-03-22,110.1
2019-03-25,109.96
2019-03-26,110.6
2019-03-27,110.54
2019-03-28,110.68
2019-03-29,111.52
2019-04-01,113.14
2019-04-02,113.88
2019-04-03,115.84
2019-04-04,116.14
2019-04-05,116.36
2019-04-08,115.74
2019-04-09,114.96
2019-04-10,115.34
2019-04-11,115.7
2019-04-12,116.18
2019-04-15,116.4
2019-04-16,117.28
2019-04-17,117.72
2019-04-18,118.26
2019-04-23,118.54
2019-04-24,119.08
2019-04-25,118.94
2019-04-26,119.28
2019-04-29,119.24
2019-04-30,119.32
2019-05-02,119.36
2019-05-03,119.9
2019-05-06,118.92
2019-05-07,116.78
2019-05-08,117.96
2019-05-09,115.62
2019-05-10,116.66
2019-05-13,114.78
2019-05-14,115.68
2019-05-15,116.8
2019-05-16,118.8
2019-05-17,118.26
2019-05-20,116.1
2019-05-21,117.28
2019-05-22,117.5
2019-05-23,115.4
2019-05-24,115.92
2019-05-27,116.48
2019-05-28,116.02
2019-05-29,114.26
2019-05-30,114.86
2019-05-31,113.18
2019-06-03,113.72
2019-06-04,115.64
2019-06-05,115.64
2019-06-06,115.28
2019-06-07,116.14
2019-06-10,116.94
2019-06-11,117.44
2019-06-12,116.92
2019-06-13,117.4
2019-06-14,116.7
2019-06-17,116.74
2019-06-18,119.16
2019-06-19,118.86
2019-06-20,119.32
2019-06-21,118.86
2019-06-24,118.86
2019-06-25,118.1
2019-06-26,118.12
2019-06-27,118.44
2019-06-28,119.68
2019-07-01,120.88
2019-07-02,120.94
2019-07-03,121.7
2019-07-04,121.88
2019-07-05,121.2
2019-07-08,121.04
2019-07-09,120.0
2019-07-10,119.36
2019-07-11,118.98
2019-07-12,118.84
2019-07-15,119.62
2019-07-16,119.9
2019-07-17,119.04
2019-07-18,118.06
2019-07-19,118.28
2019-07-22,118.58
2019-07-23,120.66
2019-07-24,120.9
2019-07-25,119.44
2019-07-26,119.86
2019-07-29,119.92
2019-07-30,117.24
2019-07-31,117.62
2019-08-01,118.18
2019-08-02,114.78
2019-08-05,112.6
2019-08-06,111.8
2019-08-07,112.3
2019-08-08,113.88
2019-08-09,112.68
2019-08-12,112.76
2019-08-13,113.54
2019-08-14,110.8
2019-08-16,111.44
2019-08-19,113.06
2019-08-20,112.38
2019-08-21,113.76
2019-08-22,113.18
2019-08-23,112.3
2019-08-26,112.52
2019-08-27,112.94
2019-08-28,112.92
2019-08-29,114.22
2019-08-30,114.96
2019-09-02,115.36
2019-09-03,114.84
2019-09-04,115.98
2019-09-05,117.04
2019-09-06,117.54
2019-09-09,117.9
2019-09-10,118.38
2019-09-11,119.16
2019-09-12,119.78
2019-09-13,120.44
2019-09-16,119.64
2019-09-17,119.44
2019-09-18,119.64
2019-09-19,120.16
2019-09-20,120.3
2019-09-23,119.14
2019-09-24,118.82
2019-09-25,118.02
2019-09-26,118.5
2019-09-27,119.34
2019-09-30,119.88
2019-10-01,118.52
2019-10-02,115.34
2019-10-03,115.16
2019-10-04,115.74
2019-10-07,116.62
2019-10-08,115.66
2019-10-09,116.62
2019-10-10,117.54
2019-10-11,120.64
2019-10-14,120.42
2019-10-15,122.0
2019-10-16,122.42
2019-10-17,122.4
2019-10-18,122.08
2019-10-21,123.08
2019-10-22,123.12
2019-10-23,123.56
2019-10-24,124.22
2019-10-25,124.4
2019-10-28,125.0
2019-10-29,124.86
2019-10-30,124.56
2019-10-31,124.44
2019-11-01,124.94
2019-11-04,126.62
2019-11-05,126.82
2019-11-06,127.1
2019-11-07,128.08
2019-11-08,127.56
2019-11-11,127.42
2019-11-12,128.24001
2019-11-13,127.6
2019-11-14,127.22
2019-11-15,127.66
2019-11-18,127.26
2019-11-19,127.52
2019-11-20,127.04
2019-11-21,126.9
2019-11-22,126.94
2019-11-25,127.78
2019-11-26,127.76
2019-11-27,128.12
2019-11-28,127.7
2019-11-29,127.76
2019-12-02,125.18
2019-12-03,125.3
2019-12-04,126.7
2019-12-05,126.2
2019-12-06,127.04
2019-12-09,126.44
2019-12-10,126.06
2019-12-11,126.88
2019-12-12,127.66
2019-12-13,127.98
2019-12-16,129.34
2019-12-17,128.2
2019-12-18,127.6
2019-12-19,127.36
2019-12-20,128.36
2019-12-23,128.28
2019-12-27,128.53999
2019-12-30,126.72
2020-01-02,129.2
2020-01-03,127.34
2020-01-06,126.52
2020-01-07,127.62
2020-01-08,128.44
2020-01-09,130.14
2020-01-10,130.16
2020-01-13,129.66
2020-01-14,129.74001
2020-01-15,129.42
2020-01-16,129.5
2020-01-17,130.32001
2020-01-20,130.66
2020-01-21,130.67999
2020-01-22,130.24001
2020-01-23,129.10001
2020-01-24,130.86
2020-01-27,127.42
2020-01-28,128.42
2020-01-29,128.75999
2020-01-30,126.84
2020-01-31,125.32
2020-02-03,125.78
2020-02-04,128.03999
2020-02-05,130.02
2020-02-06,130.84
2020-02-07,130.34
2020-02-10,130.02
2020-02-11,131.58
2020-02-12,132.52
2020-02-13,132.38
2020-02-14,132.48
2020-02-17,132.88
2020-02-18,131.72
2020-02-19,132.88
2020-02-20,132.14
2020-02-21,130.78
2020-02-24,125.58
2020-02-25,123.34
2020-02-26,123.14
2020-02-27,119.36
2020-02-28,114.28
2020-03-02,114.34
2020-03-03,114.8
2020-03-04,116.6
2020-03-05,115.32
2020-03-06,111.38
2020-03-09,102.4
2020-03-10,101.22
2020-03-11,100.32
2020-03-12,89.14
2020-03-13,88.52
2020-03-16,84.31
2020-03-17,85.96
2020-03-18,81.87
2020-03-19,83.29
2020-03-20,85.46
2020-03-23,84.09
2020-03-24,93.58
2020-03-25,94.68
2020-03-26,96.0
2020-03-27,92.64
2020-03-30,94.35
2020-03-31,95.77
2020-04-01,91.72
2020-04-02,92.04
2020-04-03,91.78
2020-04-06,97.06
2020-04-07,99.75
2020-04-08,99.51
2020-04-09,101.84
2020-04-14,103.24
2020-04-15,99.05
2020-04-16,99.6
2020-04-17,102.16
2020-04-20,102.72
2020-04-21,98.92
2020-04-22,100.38
2020-04-23,101.56
2020-04-24,99.73
2020-04-27,102.54
2020-04-28,104.04
2020-04-29,107.1
2020-04-30,104.42
2020-05-04,100.82
2020-05-05,103.38
2020-05-06,102.26
2020-05-07,103.44
2020-05-08,104.92
2020-05-11,104.24
2020-05-12,104.3
2020-05-13,101.5
2020-05-14,99.34
2020-05-15,100.5
2020-05-18,106.56
2020-05-19,106.74
2020-05-20,108.14
2020-05-21,106.4
2020-05-22,106.54
2020-05-25,109.34
2020-05-26,110.86
2020-05-27,112.1
2020-05-28,113.58
2020-05-29,111.56
2020-06-01,113.98
2020-06-02,115.32
2020-06-03,119.98
2020-06-04,119.52
2020-06-05,123.58
2020-06-08,123.48
2020-06-09,121.62
2020-06-10,120.76
2020-06-11,115.18
2020-06-12,114.74
2020-06-15,114.58
2020-06-16,118.48
