Date,Price
2016-05-02,19.783
2016-05-03,19.2193
2016-05-04,18.9761
2016-05-06,19.0808
2016-05-09,18.9894
2016-05-10,19.2398
2016-05-11,18.9962
2016-05-12,18.9942
2016-05-13,19.1221
2016-05-17,19.1569
2016-05-18,19.3261
2016-05-19,19.1046
2016-05-20,19.3166
2016-05-23,19.1911
2016-05-24,19.6405
2016-05-25,20.0956
2016-05-26,19.9945
2016-05-27,20.0745
2016-05-30,20.0971
2016-05-31,19.9141
2016-06-01,19.6539
2016-06-02,19.7507
2016-06-03,19.4037
2016-06-06,19.4513
2016-06-07,19.6063
2016-06-08,19.467
2016-06-09,19.331
2016-06-10,18.7193
2016-06-13,18.3068
2016-06-14,17.9139
2016-06-15,18.1879
2016-06-16,18.0926
2016-06-17,18.4497
2016-06-20,19.0789
2016-06-21,19.1296
2016-06-22,19.2133
2016-06-24,17.193
2016-06-27,16.9016
2016-06-28,17.3508
2016-06-29,17.9599
2016-06-30,18.1079
2016-07-01,18.342
2016-07-04,18.3139
2016-07-05,17.9386
2016-07-06,17.6476
2016-07-07,17.8309
2016-07-08,18.2261
2016-07-11,18.4986
2016-07-12,18.9464
2016-07-13,18.8757
2016-07-14,19.0494
2016-07-15,19.0021
2016-07-18,18.9865
2016-07-19,18.8988
2016-07-20,19.0995
2016-07-21,19.1179
2016-07-22,19.1537
2016-07-25,19.1075
2016-07-26,19.0733
2016-07-27,19.3332
2016-07-28,18.9271
2016-07-29,19.1674
2016-08-01,19.0029
2016-08-02,18.4756
2016-08-03,18.4446
2016-08-04,18.7162
2016-08-05,19.0598
2016-08-08,19.111
2016-08-09,19.3406
2016-08-10,19.326
2016-08-11,19.4607
2016-08-12,19.4539
2016-08-16,19.2422
2016-08-17,18.9413
2016-08-18,19.0817
2016-08-19,18.8597
2016-08-22,18.8978
2016-08-23,19.1499
2016-08-24,19.3161
2016-08-25,19.1911
2016-08-26,19.325
2016-08-29,19.2281
2016-08-30,19.3822
2016-08-31,19.4523
2016-09-01,19.5543
2016-09-02,19.8805
2016-09-05,19.9791
2016-09-06,19.8587
2016-09-07,20.1171
2016-09-08,20.3086
2016-09-09,20.1398
2016-09-12,19.7845
2016-09-13,19.4667
2016-09-14,19.4183
2016-09-15,19.4583
2016-09-16,19.2637
2016-09-19,19.4464
2016-09-20,19.3808
2016-09-21,19.5422
2016-09-22,19.944
2016-09-23,19.6976
2016-09-26,19.4468
2016-09-27,19.4024
2016-09-28,19.5188
2016-09-29,19.6434
2016-09-30,19.6058
2016-10-04,19.605
2016-10-05,19.6253
2016-10-06,19.5788
2016-10-07,19.2808
2016-10-10,19.4528
2016-10-11,19.434
2016-10-12,19.4192
2016-10-13,19.245
2016-10-14,19.6007
2016-10-17,19.5393
2016-10-18,19.8504
2016-10-19,20.0401
2016-10-20,20.2885
2016-10-21,20.3762
2016-10-24,20.6352
2016-10-25,20.4636
2016-10-26,20.5389
2016-10-27,20.5921
2016-10-28,20.6011
2016-10-31,20.5116
2016-11-02,19.9054
2016-11-03,19.9197
2016-11-04,19.7214
2016-11-07,20.0058
2016-11-08,20.0466
2016-11-09,19.9671
2016-11-10,19.6419
2016-11-11,19.3776
2016-11-14,19.4197
2016-11-15,19.5536
2016-11-16,19.4437
2016-11-17,19.6234
2016-11-18,19.4086
2016-11-21,19.3899
2016-11-22,19.4833
2016-11-23,19.4294
2016-11-24,19.4998
2016-11-25,19.5383
2016-11-28,19.4137
2016-11-29,19.5206
2016-11-30,19.5687
2016-12-01,19.5352
2016-12-02,19.3956
2016-12-05,19.5279
2016-12-06,20.0432
2016-12-07,20.1938
2016-12-08,20.611
2016-12-09,20.6653
2016-12-12,20.7027
2016-12-13,21.0296
2016-12-14,20.7752
2016-12-15,21.051
2016-12-16,21.2126
2016-12-19,21.0633
2016-12-20,21.2309
2016-12-21,21.1536
2016-12-22,21.0673
2016-12-23,21.1464
2016-12-28,21.0986
2016-12-29,21.0713
2016-12-30,21.1271
2017-01-03,21.4545
2017-01-04,21.3824
2017-01-05,21.4768
2017-01-06,21.5397
2017-01-09,21.4869
2017-01-10,21.417
2017-01-11,21.3182
2017-01-12,21.3158
2017-01-13,21.5516
2017-01-16,21.3209
2017-01-17,21.2885
2017-01-18,21.2682
2017-01-19,21.2517
2017-01-20,21.2598
2017-01-23,21.0886
2017-01-24,21.2753
2017-01-25,21.6429
2017-01-26,21.5596
2017-01-27,21.5399
2017-01-30,21.2581
2017-01-31,21.1537
2017-02-01,21.1878
2017-02-02,21.3597
2017-02-03,21.4877
2017-02-06,21.2473
2017-02-07,21.1886
2017-02-08,21.1844
2017-02-09,21.4312
2017-02-10,21.2941
2017-02-13,21.5345
2017-02-14,21.5932
2017-02-15,21.7611
2017-02-16,21.6938
2017-02-17,21.57
2017-02-20,21.6298
2017-02-21,21.7075
2017-02-22,21.5172
2017-02-23,21.5537
2017-02-24,21.4635
2017-02-27,21.4871
2017-02-28,21.6943
2017-03-01,22.1387
2017-03-02,22.0584
2017-03-03,22.2451
2017-03-06,22.2575
2017-03-07,22.2517
2017-03-08,22.3629
2017-03-09,22.698
2017-03-10,22.7164
2017-03-13,22.6919
2017-03-14,22.4856
2017-03-15,22.6629
2017-03-16,23.0822
2017-03-17,23.2586
2017-03-20,23.1862
2017-03-21,23.1808
2017-03-22,23.2208
2017-03-23,23.4372
2017-03-24,23.402
2017-03-27,23.3864
2017-03-28,23.5847
2017-03-29,23.5439
2017-03-30,23.6307
2017-03-31,23.7598
2017-04-03,23.4836
2017-04-04,23.5652
2017-04-05,23.6669
2017-04-06,23.9472
2017-04-07,23.973
2017-04-10,23.7652
2017-04-11,23.7319
2017-04-12,23.6047
2017-04-13,23.5263
2017-04-18,23.3854
2017-04-19,23.6258
2017-04-20,23.6305
2017-04-21,23.6409
2017-04-24,24.528
2017-04-25,24.5693
2017-04-26,24.524
2017-04-27,24.4044
2017-04-28,24.4777
2017-05-02,24.7302
2017-05-03,24.7682
2017-05-04,25.1699
2017-05-05,25.4548
2017-05-08,25.3649
2017-05-09,25.2682
2017-05-10,25.2346
2017-05-11,24.8382
2017-05-12,24.9192
2017-05-15,25.0576
2017-05-16,25.1138
2017-05-17,24.666
2017-05-18,24.4345
2017-05-19,24.7785
2017-05-22,24.6819
2017-05-23,24.9629
2017-05-24,24.9421
2017-05-26,24.9343
2017-05-30,24.8737
2017-05-31,24.8811
2017-06-01,24.8828
2017-06-02,24.9394
2017-06-06,24.8811
2017-06-07,24.8621
2017-06-08,25.0484
2017-06-09,25.1058
2017-06-12,24.8222
2017-06-13,24.9127
2017-06-14,24.7132
2017-06-15,24.5383
2017-06-16,24.6819
2017-06-19,24.8872
2017-06-20,24.6509
2017-06-21,24.6381
2017-06-22,24.5676
2017-06-26,24.556
2017-06-27,24.4531
2017-06-28,24.5974
2017-06-29,24.2532
2017-06-30,24.0589
2017-07-03,24.4602
2017-07-04,24.3657
2017-07-05,24.3068
2017-07-06,24.262
2017-07-07,24.27
2017-07-10,24.29
2017-07-11,24.19
2017-07-12,24.43
2017-07-13,24.67
2017-07-14,24.68
2017-07-17,24.62
2017-07-18,24.4
2017-07-19,24.49
2017-07-20,24.45
2017-07-21,24.45
2017-07-24,24.2
2017-07-25,24.53
2017-07-26,24.56
2017-07-27,24.61
2017-07-28,24.61
2017-07-31,24.43
2017-08-01,24.6
2017-08-02,24.6
2017-08-03,24.53
2017-08-04,24.83
2017-08-07,24.86
2017-08-08,25.03
2017-08-09,25.03
2017-08-10,25.03
2017-08-11,25.03
2017-08-14,24.33
2017-08-15,24.37
2017-08-16,24.37
2017-08-17,24.31
2017-08-18,24.15
2017-08-21,24.1
2017-08-22,24.2
2017-08-23,24.2
2017-08-24,24.11
2017-08-25,24.1
2017-08-28,23.92
2017-08-29,23.73
2017-08-30,23.84
2017-08-31,23.93
2017-09-01,24.05
2017-09-04,23.84
2017-09-05,23.73
2017-09-06,23.65
2017-09-07,23.6
2017-09-08,23.61
2017-09-11,24.08
2017-09-12,24.07
2017-09-13,24.18
2017-09-14,24.13
2017-09-15,24.02
2017-09-18,24.08
2017-09-19,24.15
2017-09-20,23.99
2017-09-21,24.02
2017-09-22,23.99
2017-09-25,23.82
2017-09-26,23.77
2017-09-27,24.2
2017-09-28,24.2
2017-09-29,24.24
2017-10-02,23.94
2017-10-03,23.94
2017-10-04,23.28
2017-10-05,23.88
2017-10-06,23.87
2017-10-09,23.94
2017-10-10,23.7
2017-10-11,24.04
2017-10-12,24.01
2017-10-13,24.06
2017-10-16,23.85
2017-10-17,23.98
2017-10-18,24.11
2017-10-19,23.93
2017-10-20,23.93
2017-10-23,23.86
2017-10-24,23.86
2017-10-25,23.86
2017-10-26,24.29
2017-10-27,23.98
2017-10-30,24.56
2017-10-31,24.56
2017-11-01,24.74
2017-11-02,24.66
2017-11-03,24.39
2017-11-06,24.32
2017-11-07,24.09
2017-11-08,24.06
2017-11-09,23.88
2017-11-10,23.83
2017-11-13,23.72
2017-11-14,23.57
2017-11-15,23.56
2017-11-16,23.76
2017-11-17,23.56
2017-11-20,23.62
2017-11-21,23.59
2017-11-22,23.62
2017-11-23,23.66
2017-11-24,23.71
2017-11-27,23.73
2017-11-28,23.94
2017-11-29,24.23
2017-11-30,24.09
2017-12-01,23.76
2017-12-04,23.76
2017-12-05,24.075
2017-12-06,24.01
2017-12-07,24.01
2017-12-08,24.315
2017-12-11,24.28
2017-12-12,24.28
2017-12-13,24.275
2017-12-14,24.05
2017-12-15,23.995
2017-12-18,24.25
2017-12-19,24.25
2017-12-20,24.22
2017-12-21,24.43
2017-12-22,24.15
2017-12-27,24.12
2017-12-28,23.95
2017-12-29,23.86
2018-01-02,23.905
2018-01-03,23.995
2018-01-04,24.475
2018-01-05,24.665
2018-01-08,24.695
2018-01-09,24.755
2018-01-10,24.775
2018-01-11,24.84
2018-01-12,24.935
2018-01-15,24.94
2018-01-16,25.065
2018-01-17,24.965
2018-01-18,24.855
2018-01-19,24.97
2018-01-22,25.23
2018-01-23,25.25
2018-01-24,25.18
2018-01-25,25.27
2018-01-26,25.26
2018-01-29,25.185
2018-01-30,24.915
2018-01-31,24.96
2018-02-01,24.83
2018-02-02,24.38
2018-02-05,24.035
2018-02-06,23.505
2018-02-07,23.86
2018-02-08,23.335
2018-02-09,23.035
2018-02-12,23.305
2018-02-13,23.04
2018-02-14,23.105
2018-02-15,23.24
2018-02-16,23.485
2018-02-19,23.44
2018-02-20,23.645
2018-02-21,23.45
2018-02-22,23.585
2018-02-23,23.475
2018-02-26,23.685
2018-02-27,23.69
2018-02-28,23.56
2018-03-01,23.315
2018-03-02,22.81
2018-03-05,22.93
2018-03-06,22.92
2018-03-07,22.97
2018-03-08,23.055
2018-03-09,23.15
2018-03-12,23.225
2018-03-13,23.225
2018-03-14,23.13
2018-03-15,23.125
2018-03-16,23.125
2018-03-19,23.05
2018-03-20,23.09
2018-03-21,22.99
2018-03-22,22.645
2018-03-23,22.375
2018-03-26,22.395
2018-03-27,22.62
2018-03-28,22.775
2018-03-29,22.93
2018-04-03,22.79
2018-04-04,22.685
2018-04-05,23.255
2018-04-06,23.255
2018-04-09,23.255
2018-04-10,23.33
2018-04-11,23.3
2018-04-12,23.335
2018-04-13,23.41
2018-04-16,23.4
2018-04-17,23.52
2018-04-18,23.7
2018-04-19,23.695
2018-04-20,23.765
2018-04-23,23.845
2018-04-24,23.75
2018-04-25,23.665
2018-04-26,23.785
2018-04-27,23.895
2018-04-30,24.05
2018-05-02,24.315
2018-05-03,24.18
2018-05-04,24.35
2018-05-07,24.445
2018-05-08,24.485
2018-05-09,24.615
2018-05-10,24.68
2018-05-11,24.755
2018-05-14,24.755
2018-05-15,24.595
2018-05-16,24.395
2018-05-17,24.6
2018-05-18,24.38
2018-05-21,24.38
2018-05-22,24.42
2018-05-23,24.125
2018-05-24,24.025
2018-05-25,23.625
2018-05-28,23.485
2018-05-29,22.89
2018-05-30,23.025
2018-05-31,22.735
2018-06-01,23.175
2018-06-04,23.435
2018-06-05,23.33
2018-06-06,23.56
2018-06-07,23.67
2018-06-08,23.465
2018-06-11,23.82
2018-06-12,23.83
2018-06-13,23.805
2018-06-14,24.005
2018-06-15,23.725
2018-06-18,23.725
2018-06-19,23.56
2018-06-20,23.56
2018-06-21,23.3975
2018-06-22,23.3975
2018-06-25,23.17
2018-06-26,23.2375
2018-06-27,23.2725
2018-06-28,23.16
2018-06-29,23.2375
2018-07-02,23.0825
2018-07-03,23.3875
2018-07-04,23.3875
2018-07-05,23.865
2018-07-06,23.9725
2018-07-09,24.1125
2018-07-10,23.9975
2018-07-11,23.62
2018-07-12,23.735
2018-07-13,23.6425
2018-07-16,23.615
2018-07-17,23.615
2018-07-18,23.725
2018-07-19,23.655
2018-07-20,23.635
2018-07-23,23.645
2018-07-24,23.8
2018-07-25,23.625
2018-07-26,23.78
2018-07-27,24.04
2018-07-30,24.02
2018-07-31,24.125
2018-08-01,23.95
2018-08-02,23.69
2018-08-03,23.775
2018-08-06,23.74
2018-08-07,23.87
2018-08-08,23.81
2018-08-09,23.775
2018-08-10,23.395
2018-08-13,23.21
2018-08-14,23.19
2018-08-15,22.82
2018-08-16,22.965
2018-08-17,22.925
2018-08-20,23.05
2018-08-21,23.245
2018-08-22,23.3
2018-08-23,23.235
2018-08-24,23.33
2018-08-27,23.465
2018-08-28,23.36
2018-08-29,23.36
2018-08-30,23.05
2018-08-31,22.875
2018-09-03,22.86
2018-09-04,22.83
2018-09-05,22.605
2018-09-06,22.4
2018-09-07,22.305
2018-09-10,22.555
2018-09-11,22.58
2018-09-12,22.625
2018-09-13,22.675
2018-09-14,22.785
2018-09-17,22.89
2018-09-18,23.0
2018-09-19,23.135
2018-09-20,23.385
2018-09-21,23.4
2018-09-24,23.18
2018-09-25,23.15
2018-09-26,23.225
2018-09-27,23.23
2018-09-28,22.875
2018-10-01,22.895
2018-10-02,22.67
2018-10-04,22.73
2018-10-05,22.54
2018-10-08,22.47
2018-10-09,22.65
2018-10-10,22.415
2018-10-11,22.04
2018-10-12,21.81
2018-10-15,21.845
2018-10-16,22.175
2018-10-17,22.0
2018-10-18,21.74
2018-10-19,21.75
2018-10-22,21.56
2018-10-23,21.38
2018-10-24,21.165
2018-10-25,21.435
2018-10-26,21.27
2018-10-29,21.565
2018-10-30,21.495
2018-10-31,21.725
2018-11-01,21.89
2018-11-02,22.015
2018-11-05,22.055
2018-11-06,22.055
2018-11-07,22.395
2018-11-08,22.41
2018-11-09,22.25
2018-11-12,22.105
2018-11-13,22.305
2018-11-14,22.215
2018-11-15,22.145
2018-11-16,22.085
2018-11-19,21.97
2018-11-20,21.605
2018-11-21,21.835
2018-11-22,21.66
2018-11-23,21.69
2018-11-26,22.125
2018-11-27,22.095
2018-11-28,22.095
2018-11-29,22.14
2018-11-30,22.08
2018-12-03,22.375
2018-12-04,22.06
2018-12-05,21.925
2018-12-06,21.32
2018-12-07,21.415
2018-12-10,21.02
2018-12-11,21.205
2018-12-12,21.55
2018-12-13,21.755
2018-12-14,21.64
2018-12-17,21.53
2018-12-18,21.305
2018-12-19,21.465
2018-12-20,21.1
2018-12-21,21.0
2018-12-27,20.555
2018-12-28,20.9
2019-01-02,21.04
2019-01-03,21.02
2019-01-04,21.55
2019-01-07,21.675
2019-01-08,21.845
2019-01-09,21.835
2019-01-10,21.925
2019-01-11,21.985
2019-01-14,21.82
2019-01-15,21.915
2019-01-16,22.09
2019-01-17,22.045
2019-01-18,22.485
2019-01-21,22.41
2019-01-22,22.35
2019-01-23,22.555
2019-01-24,22.59
2019-01-25,22.745
2019-01-28,22.455
2019-01-29,22.455
2019-01-30,22.455
2019-01-31,22.365
2019-02-01,22.295
2019-02-04,22.19
2019-02-05,22.485
2019-02-06,22.525
2019-02-07,22.1
2019-02-08,21.89
2019-02-11,22.06
2019-02-12,22.18
2019-02-13,22.185
2019-02-14,22.115
2019-02-15,22.55
2019-02-18,22.625
2019-02-19,22.555
2019-02-20,22.7
2019-02-21,22.74
2019-02-22,22.775
2019-02-25,22.795
2019-02-26,22.815
2019-02-27,22.815
2019-02-28,23.0
2019-03-01,22.945
2019-03-04,22.905
2019-03-05,22.875
2019-03-06,22.995
2019-03-07,22.79
2019-03-08,22.49
2019-03-11,22.625
2019-03-12,22.635
2019-03-13,22.77
2019-03-14,22.82
2019-03-15,23.135
2019-03-18,23.345
2019-03-19,23.57
2019-03-20,23.32
2019-03-21,23.15
2019-03-22,22.68
2019-03-25,22.635
2019-03-26,22.59
2019-03-27,22.725
2019-03-28,22.565
2019-03-29,22.75
2019-04-01,23.08
2019-04-02,23.14
2019-04-03,23.455
2019-04-04,23.58
2019-04-05,23.54
2019-04-08,23.395
2019-04-09,23.345
2019-04-10,23.34
2019-04-11,23.505
2019-04-12,23.625
2019-04-15,23.65
2019-04-16,23.67
2019-04-17,23.875
2019-04-18,23.91
2019-04-23,23.735
2019-04-24,23.52
2019-04-25,23.61
2019-04-26,23.635
2019-04-29,23.78
2019-04-30,23.86
2019-05-02,23.49
2019-05-03,23.445
2019-05-06,23.25
2019-05-07,22.965
2019-05-08,22.965
2019-05-09,22.585
2019-05-10,22.635
2019-05-13,22.385
2019-05-14,22.62
2019-05-15,22.725
2019-05-16,23.04
2019-05-17,22.955
2019-05-20,22.715
2019-05-21,22.83
2019-05-22,22.795
2019-05-23,22.495
2019-05-24,22.64
2019-05-27,22.725
2019-05-28,22.655
2019-05-29,22.4
2019-05-30,22.615
2019-05-31,22.2
2019-06-03,22.225
2019-06-04,22.525
2019-06-05,22.56
2019-06-06,22.57
2019-06-07,22.57
2019-06-11,22.9
2019-06-12,22.785
2019-06-13,22.785
2019-06-14,22.655
2019-06-17,22.54
2019-06-18,22.87
2019-06-19,22.885
2019-06-20,22.815
2019-06-21,22.84
2019-06-24,22.74
2019-06-25,22.685
2019-06-26,22.68
2019-06-27,22.67
2019-06-28,22.84
2019-07-01,23.02
2019-07-02,23.05
2019-07-03,23.31
2019-07-04,23.38
2019-07-05,23.235
2019-07-08,23.135
2019-07-09,23.07
2019-07-10,23.04
2019-07-11,23.12
2019-07-12,23.125
2019-07-15,23.205
2019-07-16,23.35
2019-07-17,23.12
2019-07-18,22.94
2019-07-19,22.805
2019-07-22,22.81
2019-07-23,23.12
2019-07-24,23.245
2019-07-25,23.135
2019-07-26,22.99
2019-07-29,22.975
2019-07-30,22.4
2019-07-31,22.375
2019-08-01,22.52
2019-08-02,22.135
2019-08-05,21.84
2019-08-06,21.66
2019-08-07,21.735
2019-08-08,22.04
2019-08-09,21.745
2019-08-12,21.56
2019-08-13,21.63
2019-08-14,21.18
2019-08-15,21.185
2019-08-16,21.55
2019-08-19,21.71
2019-08-20,21.415
2019-08-21,21.605
2019-08-22,21.66
2019-08-23,21.485
2019-08-26,21.555
2019-08-27,21.65
2019-08-28,21.685
2019-08-29,21.815
2019-08-30,21.86
2019-09-02,21.87
2019-09-03,21.87
2019-09-04,21.975
2019-09-05,22.305
2019-09-06,22.3
2019-09-09,22.355
2019-09-10,22.54
2019-09-11,22.54
2019-09-12,22.6
2019-09-13,22.745
2019-09-16,22.56
2019-09-17,22.405
2019-09-18,22.405
2019-09-19,22.685
2019-09-20,22.78
2019-09-23,22.555
2019-09-24,22.59
2019-09-25,22.535
2019-09-26,22.64
2019-09-27,22.76
2019-09-30,22.9
2019-10-01,22.695
2019-10-02,22.055
2019-10-04,22.165
2019-10-07,22.375
