Date,Price
2016-05-02,47.665
2016-05-03,46.84
2016-05-04,46.23
2016-05-05,46.4
2016-05-06,46.39
2016-05-09,46.54
2016-05-10,46.935
2016-05-11,46.81
2016-05-12,46.565
2016-05-13,46.86
2016-05-16,46.855
2016-05-17,46.815
2016-05-18,47.26
2016-05-19,46.82
2016-05-20,47.31
2016-05-23,47.23
2016-05-24,48.29
2016-05-25,48.825
2016-05-26,48.98
2016-05-27,49.05
2016-05-31,48.8
2016-06-01,48.3
2016-06-02,48.46
2016-06-03,47.995
2016-06-06,48.18
2016-06-07,48.665
2016-06-08,48.4
2016-06-09,47.995
2016-06-10,46.86
2016-06-13,46.06
2016-06-14,45.08
2016-06-15,45.545
2016-06-16,45.3
2016-06-17,45.71
2016-06-20,47.535
2016-06-21,47.965
2016-06-22,48.31
2016-06-23,48.675
2016-06-24,45.245
2016-06-27,43.63
2016-06-28,44.675
2016-06-29,46.05
2016-06-30,46.51
2016-07-01,46.94
2016-07-04,46.71
2016-07-05,45.965
2016-07-06,45.17
2016-07-07,45.675
2016-07-08,46.385
2016-07-11,47.06
2016-07-12,47.63
2016-07-13,47.585
2016-07-14,47.95
2016-07-15,47.77
2016-07-18,47.94
2016-07-19,47.755
2016-07-20,48.2
2016-07-21,48.18
2016-07-22,48.1
2016-07-25,48.125
2016-07-26,48.29
2016-07-27,48.45
2016-07-28,48.035
2016-07-29,48.225
2016-08-01,48.015
2016-08-02,47.38
2016-08-03,47.38
2016-08-04,47.715
2016-08-05,48.2
2016-08-08,48.27
2016-08-09,48.71
2016-08-10,48.565
2016-08-11,48.995
2016-08-12,49.01
2016-08-16,48.68
2016-08-17,48.22
2016-08-18,48.495
2016-08-19,48.195
2016-08-22,48.135
2016-08-23,48.655
2016-08-24,48.795
2016-08-25,48.415
2016-08-26,48.715
2016-08-29,48.6
2016-08-30,48.88
2016-08-31,48.715
2016-09-01,48.645
2016-09-02,49.725
2016-09-05,49.69
2016-09-06,49.465
2016-09-07,49.615
2016-09-08,49.51
2016-09-09,48.945
2016-09-12,48.445
2016-09-13,47.955
2016-09-14,48.0
2016-09-15,48.255
2016-09-16,47.79
2016-09-19,48.345
2016-09-20,48.325
2016-09-21,48.525
2016-09-22,49.27
2016-09-23,48.945
2016-09-26,48.165
2016-09-27,48.165
2016-09-28,48.505
2016-09-29,48.575
2016-09-30,48.67
2016-10-03,48.635
2016-10-04,49.2
2016-10-05,48.855
2016-10-06,48.71
2016-10-07,48.205
2016-10-10,48.58
2016-10-11,48.24
2016-10-12,48.065
2016-10-13,47.63
2016-10-14,48.25
2016-10-17,47.9
2016-10-18,48.595
2016-10-19,48.77
2016-10-20,48.84
2016-10-21,48.885
2016-10-24,48.905
2016-10-25,48.69
2016-10-26,48.58
2016-10-27,48.565
2016-10-28,48.425
2016-10-31,48.245
2016-11-01,47.615
2016-11-02,47.21
2016-11-03,47.18
2016-11-04,46.78
2016-11-07,47.465
2016-11-08,47.655
2016-11-09,48.375
2016-11-10,48.335
2016-11-11,47.955
2016-11-14,48.175
2016-11-15,48.32
2016-11-16,48.275
2016-11-17,48.545
2016-11-18,48.38
2016-11-21,48.475
2016-11-22,48.59
2016-11-23,48.625
2016-11-24,48.705
2016-11-25,48.835
2016-11-28,48.415
2016-11-29,48.545
2016-11-30,48.785
