,1M,3M,6M,12M
1995-01-01,100.01769,100.0185,100.01961,100.02128
1995-01-02,100.03539,100.037,100.03923,100.04256
1995-01-03,100.05309,100.05551,100.05884,100.06385
1995-01-04,100.0708,100.07402,100.07847,100.08514
1995-01-05,100.0885,100.09253,100.09809,100.10643
1995-01-06,100.10621,100.11105,100.11772,100.12773
1995-01-07,100.12393,100.12957,100.13736,100.14904
1995-01-08,100.14164,100.1481,100.157,100.17035
1995-01-09,100.15936,100.16662,100.17664,100.19166
1995-01-10,100.17709,100.18515,100.19628,100.21298
1995-01-11,100.19481,100.20369,100.21593,100.2343
1995-01-12,100.21254,100.22223,100.23559,100.25563
1995-01-13,100.23027,100.24077,100.25524,100.27696
1995-01-14,100.24801,100.25931,100.27491,100.2983
1995-01-15,100.26575,100.27786,100.29457,100.31964
1995-01-16,100.28349,100.29641,100.31424,100.34099
1995-01-17,100.30123,100.31497,100.33391,100.36234
1995-01-18,100.31898,100.33352,100.35359,100.38369
1995-01-19,100.33673,100.35209,100.37327,100.40505
1995-01-20,100.35448,100.37065,100.39295,100.42642
1995-01-21,100.37224,100.38922,100.41264,100.44779
1995-01-22,100.39,100.40779,100.43233,100.46916
1995-01-23,100.40777,100.42637,100.45203,100.49054
1995-01-24,100.42553,100.44495,100.47173,100.51192
1995-01-25,100.4433,100.46353,100.49143,100.5333
1995-01-26,100.46107,100.48211,100.51114,100.5547
1995-01-27,100.47885,100.5007,100.53085,100.57609
1995-01-28,100.49663,100.5193,100.55057,100.59749
1995-01-29,100.51441,100.53789,100.57029,100.6189
1995-01-30,100.5322,100.55649,100.59001,100.64031
1995-01-31,100.54999,100.57509,100.60974,100.66172
1995-02-01,100.56775,100.59351,100.62908,100.68269
1995-02-02,100.58552,100.61192,100.64842,100.70367
1995-02-03,100.60329,100.63034,100.66777,100.72465
1995-02-04,100.62106,100.64876,100.68712,100.74563
1995-02-05,100.63884,100.66718,100.70647,100.76662
1995-02-06,100.65662,100.68561,100.72583,100.78761
1995-02-07,100.6744,100.70404,100.74519,100.80861
1995-02-08,100.69218,100.72248,100.76456,100.82961
1995-02-09,100.70997,100.74091,100.78392,100.85062
1995-02-10,100.72777,100.75935,100.8033,100.87163
1995-02-11,100.74556,100.7778,100.82267,100.89264
1995-02-12,100.76336,100.79625,100.84205,100.91366
1995-02-13,100.78116,100.8147,100.86144,100.93469
1995-02-14,100.79897,100.83315,100.88083,100.95572
1995-02-15,100.81677,100.85161,100.90022,100.97675
1995-02-16,100.83458,100.87007,100.91961,100.99778
1995-02-17,100.8524,100.88854,100.93901,101.01883
1995-02-18,100.87022,100.90701,100.95842,101.03987
1995-02-19,100.88804,100.92548,100.97782,101.06092
1995-02-20,100.90586,100.94395,100.99723,101.08198
1995-02-21,100.92369,100.96243,101.01665,101.10303
1995-02-22,100.94152,100.98091,101.03606,101.1241
1995-02-23,100.95935,100.9994,101.05548,101.14517
1995-02-24,100.97719,101.01789,101.07491,101.16624
1995-02-25,100.99502,101.03638,101.09434,101.18731
1995-02-26,101.01287,101.05487,101.11377,101.20839
1995-02-27,101.03071,101.07337,101.13321,101.22948
1995-02-28,101.04856,101.09187,101.15265,101.25057
1995-03-01,101.06939,101.11316,101.1744,101.27312
1995-03-02,101.09022,101.13445,101.19615,101.29569
1995-03-03,101.11106,101.15574,101.21791,101.31825
1995-03-04,101.1319,101.17704,101.23967,101.34082
1995-03-05,101.15274,101.19835,101.26143,101.3634
1995-03-06,101.17359,101.21965,101.2832,101.38598
1995-03-07,101.19444,101.24097,101.30498,101.40857
1995-03-08,101.2153,101.26228,101.32676,101.43116
1995-03-09,101.23616,101.2836,101.34855,101.45376
1995-03-10,101.25703,101.30493,101.37034,101.47636
1995-03-11,101.2779,101.32626,101.39213,101.49897
1995-03-12,101.29877,101.34759,101.41393,101.52158
1995-03-13,101.31965,101.36893,101.43573,101.54419
1995-03-14,101.34053,101.39028,101.45754,101.56682
1995-03-15,101.36142,101.41163,101.47936,101.58944
1995-03-16,101.38231,101.43298,101.50117,101.61207
1995-03-17,101.40321,101.45434,101.523,101.63471
1995-03-18,101.42411,101.4757,101.54482,101.65735
1995-03-19,101.44501,101.49706,101.56666,101.68
1995-03-20,101.46592,101.51844,101.58849,101.70265
1995-03-21,101.48684,101.53981,101.61034,101.72531
1995-03-22,101.50775,101.56119,101.63218,101.74797
1995-03-23,101.52868,101.58257,101.65403,101.77064
1995-03-24,101.5496,101.60396,101.67589,101.79331
1995-03-25,101.57053,101.62536,101.69775,101.81599
1995-03-26,101.59147,101.64675,101.71961,101.83867
1995-03-27,101.61241,101.66816,101.74148,101.86136
1995-03-28,101.63335,101.68956,101.76336,101.88405
1995-03-29,101.6543,101.71097,101.78524,101.90675
1995-03-30,101.67525,101.73239,101.80712,101.92945
1995-03-31,101.69621,101.75381,101.82901,101.95216
1995-04-01,101.71638,101.77442,101.84991,101.97377
1995-04-02,101.73655,101.79503,101.87082,101.99538
1995-04-03,101.75673,101.81564,101.89173,102.017
1995-04-04,101.77691,101.83626,101.91265,102.03862
1995-04-05,101.79709,101.85688,101.93357,102.06024
1995-04-06,101.81728,101.8775,101.95449,102.08188
1995-04-07,101.83748,101.89813,101.97542,102.10351
1995-04-08,101.85768,101.91877,101.99635,102.12515
1995-04-09,101.87788,101.93941,102.01729,102.1468
1995-04-10,101.89808,101.96005,102.03823,102.16845
1995-04-11,101.91829,101.9807,102.05918,102.1901
1995-04-12,101.93851,102.00135,102.08013,102.21176
1995-04-13,101.95872,102.022,102.10109,102.23342
1995-04-14,101.97895,102.04266,102.12204,102.25509
1995-04-15,101.99917,102.06333,102.14301,102.27676
1995-04-16,102.0194,102.08399,102.16398,102.29844
1995-04-17,102.03964,102.10467,102.18495,102.32012
1995-04-18,102.05987,102.12534,102.20592,102.34181
1995-04-19,102.08012,102.14602,102.2269,102.3635
1995-04-20,102.10036,102.16671,102.24789,102.38519
1995-04-21,102.12061,102.1874,102.26888,102.40689
1995-04-22,102.14087,102.20809,102.28987,102.4286
1995-04-23,102.16112,102.22879,102.31087,102.45031
1995-04-24,102.18139,102.24949,102.33187,102.47202
1995-04-25,102.20165,102.27019,102.35288,102.49374
1995-04-26,102.22192,102.2909,102.37389,102.51546
1995-04-27,102.2422,102.31162,102.3949,102.53719
1995-04-28,102.26247,102.33234,102.41592,102.55892
1995-04-29,102.28276,102.35306,102.43695,102.58066
1995-04-30,102.30304,102.37378,102.45798,102.6024
1995-05-01,102.32296,102.3938,102.47815,102.62306
1995-05-02,102.34289,102.41383,102.49834,102.64373
1995-05-03,102.36282,102.43385,102.51852,102.6644
1995-05-04,102.38275,102.45389,102.53871,102.68508
1995-05-05,102.40268,102.47392,102.55891,102.70576
1995-05-06,102.42262,102.49396,102.57911,102.72644
1995-05-07,102.44257,102.514,102.59931,102.74713
1995-05-08,102.46252,102.53405,102.61952,102.76782
1995-05-09,102.48247,102.5541,102.63973,102.78852
1995-05-10,102.50242,102.57416,102.65994,102.80922
1995-05-11,102.52238,102.59422,102.68016,102.82992
1995-05-12,102.54235,102.61428,102.70038,102.85063
1995-05-13,102.56231,102.63435,102.72061,102.87134
1995-05-14,102.58228,102.65442,102.74084,102.89206
1995-05-15,102.60226,102.67449,102.76107,102.91278
1995-05-16,102.62224,102.69457,102.78131,102.93351
1995-05-17,102.64222,102.71465,102.80155,102.95424
1995-05-18,102.66221,102.73474,102.8218,102.97497
1995-05-19,102.6822,102.75483,102.84205,102.99571
1995-05-20,102.70219,102.77492,102.8623,103.01645
1995-05-21,102.72219,102.79502,102.88256,103.0372
1995-05-22,102.74219,102.81512,102.90282,103.05795
1995-05-23,102.7622,102.83523,102.92309,103.0787
1995-05-24,102.78221,102.85534,102.94336,103.09946
1995-05-25,102.80222,102.87545,102.96363,103.12022
1995-05-26,102.82224,102.89557,102.98391,103.14099
1995-05-27,102.84226,102.91569,103.00419,103.16176
1995-05-28,102.86229,102.93582,103.02448,103.18254
1995-05-29,102.88232,102.95595,103.04477,103.20332
1995-05-30,102.90235,102.97608,103.06506,103.2241
1995-05-31,102.92239,102.99622,103.08536,103.24489
1995-06-01,102.94255,103.01648,103.10572,103.26565
1995-06-02,102.9627,103.03674,103.12608,103.28642
1995-06-03,102.98287,103.057,103.14645,103.30719
1995-06-04,103.00304,103.07727,103.16682,103.32797
1995-06-05,103.02321,103.09754,103.1872,103.34875
1995-06-06,103.04338,103.11782,103.20758,103.36954
1995-06-07,103.06356,103.1381,103.22796,103.39032
1995-06-08,103.08375,103.15838,103.24835,103.41112
1995-06-09,103.10393,103.17867,103.26874,103.43191
1995-06-10,103.12412,103.19896,103.28914,103.45272
1995-06-11,103.14432,103.21925,103.30954,103.47352
1995-06-12,103.16452,103.23955,103.32994,103.49433
1995-06-13,103.18472,103.25986,103.35035,103.51515
1995-06-14,103.20493,103.28017,103.37076,103.53596
1995-06-15,103.22514,103.30048,103.39117,103.55679
1995-06-16,103.24535,103.32079,103.41159,103.57761
1995-06-17,103.26557,103.34111,103.43202,103.59844
1995-06-18,103.2858,103.36144,103.45245,103.61928
1995-06-19,103.30602,103.38176,103.47288,103.64012
1995-06-20,103.32625,103.4021,103.49331,103.66096
1995-06-21,103.34649,103.42243,103.51375,103.68181
1995-06-22,103.36673,103.44277,103.5342,103.70266
1995-06-23,103.38697,103.46312,103.55465,103.72351
1995-06-24,103.40722,103.48346,103.5751,103.74437
1995-06-25,103.42747,103.50382,103.59555,103.76524
1995-06-26,103.44772,103.52417,103.61601,103.78611
1995-06-27,103.46798,103.54453,103.63648,103.80698
1995-06-28,103.48824,103.56489,103.65695,103.82786
